,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.33326257076257076,Nested,SCALER_triads_all_features_binary_Manual,"[[ 1 50]
 [17 38]]",0.015625
1,Baseline Prior Strategy,0.33326257076257076,Nested,SCALER_triads_all_features_binary_Manual,"[[ 1 50]
 [17 38]]",0.015625
2,Baseline Stratified Strategy,0.4196657509157509,Nested,SCALER_triads_all_features_binary_Manual,"[[18 33]
 [31 24]]",0.03125
3,Baseline Uniform Strategy,0.4835331335331336,Nested,SCALER_triads_all_features_binary_Manual,"[[22 29]
 [27 28]]",0.0
4,Nearest Neighbors Test,0.4906739094239095,Nested,SCALER_triads_all_features_binary_Manual,"[[21 30]
 [24 31]]",0.125
5,Nearest Neighbors,0.44708624708624706,Nested,SCALER_triads_all_features_binary_Manual,"[[10 41]
 [18 37]]",5.9375
6,Linear SVM l1,0.562995337995338,Nested,SCALER_triads_all_features_binary_Manual,"[[27 24]
 [22 33]]",0.546875
7,Linear SVM l2,0.5527118714618714,Nested,SCALER_triads_all_features_binary_Manual,"[[25 26]
 [19 36]]",0.78125
8,SVM linear or rbf,0.5267378454878454,Nested,SCALER_triads_all_features_binary_Manual,"[[20 31]
 [18 37]]",2.109375
9,Decision Tree,0.4798805361305362,Nested,SCALER_triads_all_features_binary_Manual,"[[27 24]
 [27 28]]",0.75
10,Random Forest,0.4580981518481518,Nested,SCALER_triads_all_features_binary_Manual,"[[18 33]
 [22 33]]",24.09375
11,Neural Net,0.49987096237096235,Nested,SCALER_triads_all_features_binary_Manual,"[[25 26]
 [24 31]]",23.8125
12,AdaBoost,0.5471694971694971,Nested,SCALER_triads_all_features_binary_Manual,"[[13 38]
 [ 9 46]]",7.4375
13,Naive Bayes,0.43727106227106227,Nested,SCALER_triads_all_features_binary_Manual,"[[ 9 42]
 [18 37]]",3.453125
14,QDA,0.5613220113220113,Nested,SCALER_triads_all_features_binary_Manual,"[[22 29]
 [19 36]]",0.171875
