,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.33326257076257076,Nested,SCALER_triads_f_BPM_binary_Manual,"[[ 1 50]
 [17 38]]",0.09375
1,Baseline Prior Strategy,0.33326257076257076,Nested,SCALER_triads_f_BPM_binary_Manual,"[[ 1 50]
 [17 38]]",0.15625
2,Baseline Stratified Strategy,0.41208374958374955,Nested,SCALER_triads_f_BPM_binary_Manual,"[[20 31]
 [32 23]]",0.140625
3,Baseline Uniform Strategy,0.5417124542124542,Nested,SCALER_triads_f_BPM_binary_Manual,"[[29 22]
 [27 28]]",0.15625
4,Nearest Neighbors Test,0.5098318348318349,Nested,SCALER_triads_f_BPM_binary_Manual,"[[26 25]
 [26 29]]",0.609375
5,Nearest Neighbors,0.48824092574092576,Nested,SCALER_triads_f_BPM_binary_Manual,"[[21 30]
 [22 33]]",15.390625
6,Linear SVM l1,0.5556401931401932,Nested,SCALER_triads_f_BPM_binary_Manual,"[[26 25]
 [21 34]]",2.140625
7,Linear SVM l2,0.5599671162171163,Nested,SCALER_triads_f_BPM_binary_Manual,"[[24 27]
 [18 37]]",3.84375
8,SVM linear or rbf,0.4505265567765568,Nested,SCALER_triads_f_BPM_binary_Manual,"[[12 39]
 [19 36]]",4.953125
9,Decision Tree,0.5800428737928738,Nested,SCALER_triads_f_BPM_binary_Manual,"[[29 22]
 [21 34]]",3.75
10,Random Forest,0.5333166833166834,Nested,SCALER_triads_f_BPM_binary_Manual,"[[27 24]
 [23 32]]",21.890625
11,Neural Net,0.5444659507159507,Nested,SCALER_triads_f_BPM_binary_Manual,"[[24 27]
 [20 35]]",15.90625
12,AdaBoost,0.4912171162171162,Nested,SCALER_triads_f_BPM_binary_Manual,"[[14 37]
 [15 40]]",8.953125
13,Naive Bayes,0.5260656010656011,Nested,SCALER_triads_f_BPM_binary_Manual,"[[20 31]
 [18 37]]",8.84375
14,QDA,0.5599671162171163,Nested,SCALER_triads_f_BPM_binary_Manual,"[[24 27]
 [18 37]]",0.625
