,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.5375631313131314,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[46  0]
 [34  0]]",0.0
1,Baseline Prior Strategy,0.5375631313131314,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[46  0]
 [34  0]]",0.0
2,Baseline Stratified Strategy,0.426046176046176,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[26 20]
 [25  9]]",0.015625
3,Baseline Uniform Strategy,0.45301226551226553,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[26 20]
 [23 11]]",0.015625
4,Nearest Neighbors Test,0.6255862193362194,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[31 15]
 [16 18]]",0.09375
5,Nearest Neighbors,0.6989989177489178,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[34 12]
 [13 21]]",1.171875
6,Linear SVM l1,0.6493957431457431,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[35 11]
 [17 17]]",0.125
7,Linear SVM l2,0.6948502886002886,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[39  7]
 [17 17]]",0.21875
8,SVM linear or rbf,0.44760101010101006,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[35 11]
 [31  3]]",0.25
9,Decision Tree,0.4747925685425685,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[20 26]
 [17 17]]",0.25
10,Random Forest,0.5739989177489178,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[22 24]
 [12 22]]",8.25
11,Neural Net,0.6775342712842713,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[38  8]
 [18 16]]",6.0625
12,AdaBoost,0.5252976190476191,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[24 22]
 [17 17]]",1.84375
13,Naive Bayes,0.6804653679653679,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[38  8]
 [17 17]]",0.546875
14,QDA,0.513888888888889,Nested,SIMPLE_dyads_f_MG_1DG_binary_Manual,"[[43  3]
 [33  1]]",0.03125
