,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.5666314935064934,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[  0  96]
 [  0 110]]",0.0625
1,Baseline Prior Strategy,0.5666314935064934,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[  0  96]
 [  0 110]]",0.0625
2,Baseline Stratified Strategy,0.5138237456987457,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[42 54]
 [47 63]]",0.015625
3,Baseline Uniform Strategy,0.5485474941724943,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[52 44]
 [49 61]]",0.0
4,Nearest Neighbors Test,0.5300299700299701,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[43 53]
 [44 66]]",0.09375
5,Nearest Neighbors,0.45641552891552895,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[30 66]
 [43 67]]",6.140625
6,Linear SVM l1,0.5806074481074481,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[44 52]
 [38 72]]",0.359375
7,Linear SVM l2,0.5901427045177046,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[39 57]
 [32 78]]",1.4375
8,SVM linear or rbf,0.5396634615384616,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[25 71]
 [28 82]]",1.75
9,Decision Tree,0.5709444721944722,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[37 59]
 [35 75]]",1.34375
10,Random Forest,0.5166373903873903,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[32 64]
 [41 69]]",22.171875
11,Neural Net,0.4867449911199911,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[36 60]
 [48 62]]",20.765625
12,AdaBoost,0.4286673049173049,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[20 76]
 [42 68]]",7.921875
13,Naive Bayes,0.4651556776556776,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[12 84]
 [29 81]]",3.453125
14,QDA,0.5461324092574092,Nested,SCALER_dyads_all_features_30s_binary_Manual,"[[24 72]
 [26 84]]",0.171875
