,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.5666314935064934,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[  0  96]
 [  0 110]]",0.03125
1,Baseline Prior Strategy,0.5666314935064934,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[  0  96]
 [  0 110]]",0.015625
2,Baseline Stratified Strategy,0.5726325063825063,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[52 44]
 [44 66]]",0.015625
3,Baseline Uniform Strategy,0.5487014374514375,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[45 51]
 [42 68]]",0.03125
4,Nearest Neighbors Test,0.5300299700299701,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[43 53]
 [44 66]]",0.125
5,Nearest Neighbors,0.45641552891552895,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[30 66]
 [43 67]]",7.703125
6,Linear SVM l1,0.5806074481074481,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[44 52]
 [38 72]]",0.671875
7,Linear SVM l2,0.6016010378510379,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[39 57]
 [30 80]]",1.53125
8,SVM linear or rbf,0.5396634615384616,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[25 71]
 [28 82]]",2.3125
9,Decision Tree,0.568139985014985,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[36 60]
 [35 75]]",0.96875
10,Random Forest,0.5315911172161173,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[35 61]
 [42 68]]",25.546875
11,Neural Net,0.48056825119325114,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[38 58]
 [50 60]]",20.921875
12,AdaBoost,0.4286673049173049,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[20 76]
 [42 68]]",8.296875
13,Naive Bayes,0.4651556776556776,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[12 84]
 [29 81]]",3.6875
14,QDA,0.5461324092574092,Nested,SCALER_triads_all_features_30s_binary_Manual,"[[24 72]
 [26 84]]",0.15625
