,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.581198759147928,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[96  0]
 [62  0]]",0.0
1,Baseline Prior Strategy,0.581198759147928,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[96  0]
 [62  0]]",0.0
2,Baseline Stratified Strategy,0.5185675142916191,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[65 31]
 [44 18]]",0.046875
3,Baseline Uniform Strategy,0.5068162558172149,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[50 46]
 [30 32]]",0.03125
4,Nearest Neighbors Test,0.587618973808232,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[74 22]
 [42 20]]",0.015625
5,Nearest Neighbors,0.6354903621527663,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[78 18]
 [38 24]]",1.578125
6,Linear SVM l1,0.6991376013514761,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[80 16]
 [32 30]]",0.109375
7,Linear SVM l2,0.662611627325502,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[66 30]
 [25 37]]",1.125
8,SVM linear or rbf,0.5325876480368168,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[79 17]
 [52 10]]",1.015625
9,Decision Tree,0.5477518494222459,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[50 46]
 [25 37]]",0.1875
10,Random Forest,0.5739993790665145,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[56 40]
 [27 35]]",7.140625
11,Neural Net,0.5414445999084745,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[66 30]
 [42 20]]",3.8125
12,AdaBoost,0.6213912854338046,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[67 29]
 [30 32]]",2.359375
13,Naive Bayes,0.5955966543402604,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[77 19]
 [42 20]]",0.515625
14,QDA,0.5974567445555297,Nested,SIMPLE_dyads_all_features_30s_binary_Manual,"[[80 16]
 [45 17]]",0.03125
