,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.581198759147928,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[96  0]
 [62  0]]",0.0
1,Baseline Prior Strategy,0.581198759147928,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[96  0]
 [62  0]]",0.03125
2,Baseline Stratified Strategy,0.5290391930817122,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[53 43]
 [32 30]]",0.0
3,Baseline Uniform Strategy,0.4611369333635958,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[45 51]
 [33 29]]",0.015625
4,Nearest Neighbors Test,0.6944902878806332,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[79 17]
 [33 29]]",0.0625
5,Nearest Neighbors,0.6205311587744451,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[75 21]
 [38 24]]",1.296875
6,Linear SVM l1,0.5781794354764304,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[86 10]
 [52 10]]",0.078125
7,Linear SVM l2,0.5781794354764304,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[86 10]
 [52 10]]",0.109375
8,SVM linear or rbf,0.5781794354764304,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[86 10]
 [52 10]]",0.21875
9,Decision Tree,0.5637104397094805,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[51 45]
 [25 37]]",0.171875
10,Random Forest,0.6249086014511207,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[60 36]
 [25 37]]",7.21875
11,Neural Net,0.6331438125316002,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[80 16]
 [39 23]]",4.921875
12,AdaBoost,0.6954183435561313,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[70 26]
 [23 39]]",3.109375
13,Naive Bayes,0.6420723839601716,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[81 15]
 [39 23]]",0.46875
14,QDA,0.567309870259039,Nested,SIMPLE_dyads_f_MG_1DG_30s_binary_Manual,"[[86 10]
 [54  8]]",0.078125
