,Model,Fold,Score,CV,Version,Group,Features,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.7916666666666666,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[19  0]
 [ 5  0]]",0.0
1,Baseline Most Frequent Strategy,2,0.7391304347826086,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[17  0]
 [ 6  0]]",0.0
2,Baseline Most Frequent Strategy,3,0.6818181818181818,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[15  0]
 [ 7  0]]",0.0
3,Baseline Most Frequent Strategy,4,0.5,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[11  0]
 [11  0]]",0.0
4,Baseline Most Frequent Strategy,5,0.5555555555555556,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[10  0]
 [ 8  0]]",0.0
5,Baseline Most Frequent Strategy,6,0.9444444444444444,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[17  0]
 [ 1  0]]",0.0
6,Baseline Most Frequent Strategy,7,0.29411764705882354,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[ 5  0]
 [12  0]]",0.0
7,Baseline Most Frequent Strategy,8,0.14285714285714285,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[ 2  0]
 [12  0]]",0.0
8,Baseline Most Frequent Strategy,avg,0.581198759147928,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[96  0]
 [62  0]]",0.0
9,Baseline Most Frequent Strategy,std,0.24827419324144004,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[96  0]
 [62  0]]",0.0
10,Baseline Prior Strategy,1,0.7916666666666666,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[19  0]
 [ 5  0]]",0.0
11,Baseline Prior Strategy,2,0.7391304347826086,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[17  0]
 [ 6  0]]",0.0
12,Baseline Prior Strategy,3,0.6818181818181818,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[15  0]
 [ 7  0]]",0.0
13,Baseline Prior Strategy,4,0.5,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[11  0]
 [11  0]]",0.0
14,Baseline Prior Strategy,5,0.5555555555555556,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[10  0]
 [ 8  0]]",0.0
15,Baseline Prior Strategy,6,0.9444444444444444,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[17  0]
 [ 1  0]]",0.0
16,Baseline Prior Strategy,7,0.29411764705882354,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[ 5  0]
 [12  0]]",0.0
17,Baseline Prior Strategy,8,0.14285714285714285,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[ 2  0]
 [12  0]]",0.0
18,Baseline Prior Strategy,avg,0.581198759147928,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[96  0]
 [62  0]]",0.03125
19,Baseline Prior Strategy,std,0.24827419324144004,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[96  0]
 [62  0]]",0.03125
20,Baseline Stratified Strategy,1,0.375,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[ 6 13]
 [ 2  3]]",0.0
21,Baseline Stratified Strategy,2,0.5217391304347826,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[10  7]
 [ 4  2]]",0.0
22,Baseline Stratified Strategy,3,0.5909090909090909,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[9 6]
 [3 4]]",0.015625
23,Baseline Stratified Strategy,4,0.3181818181818182,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[4 7]
 [8 3]]",0.015625
24,Baseline Stratified Strategy,5,0.5555555555555556,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[7 3]
 [5 3]]",0.0
25,Baseline Stratified Strategy,6,0.7222222222222222,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[12  5]
 [ 0  1]]",0.0
26,Baseline Stratified Strategy,7,0.47058823529411764,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[4 1]
 [8 4]]",0.0
27,Baseline Stratified Strategy,8,0.21428571428571427,Nested,SCALER_dyads_f_MG_1DG_30s_binary_Manual,Dyads,AIxVR,30,"[[ 1  1]
 [10  2]]",0.015625
