,Model,Fold,Score,CV,Version,Group,Features,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.64,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  9]
 [ 0 16]]",0.0
1,Baseline Most Frequent Strategy,2,0.6363636363636364,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  8]
 [ 0 14]]",0.0
2,Baseline Most Frequent Strategy,3,0.2857142857142857,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0 15]
 [ 0  6]]",0.0
3,Baseline Most Frequent Strategy,4,0.2857142857142857,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0 15]
 [ 0  6]]",0.0
4,Baseline Most Frequent Strategy,5,0.55,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  9]
 [ 0 11]]",0.0
5,Baseline Most Frequent Strategy,6,0.5,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 8]
 [0 8]]",0.0
6,Baseline Most Frequent Strategy,7,0.1875,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0 13]
 [ 0  3]]",0.0
7,Baseline Most Frequent Strategy,8,0.4,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 9]
 [0 6]]",0.0
8,Baseline Most Frequent Strategy,9,0.6,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 6]
 [0 9]]",0.0
9,Baseline Most Frequent Strategy,10,0.7142857142857143,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  4]
 [ 0 10]]",0.0
10,Baseline Most Frequent Strategy,11,1.0,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,[[13]],0.0
11,Baseline Most Frequent Strategy,12,1.0,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,[[8]],0.0
12,Baseline Most Frequent Strategy,avg,0.5666314935064934,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[  0  96]
 [  0 110]]",0.0
13,Baseline Most Frequent Strategy,std,0.24880201671212723,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[  0  96]
 [  0 110]]",0.0
14,Baseline Prior Strategy,1,0.64,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  9]
 [ 0 16]]",0.0
15,Baseline Prior Strategy,2,0.6363636363636364,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  8]
 [ 0 14]]",0.0
16,Baseline Prior Strategy,3,0.2857142857142857,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0 15]
 [ 0  6]]",0.0
17,Baseline Prior Strategy,4,0.2857142857142857,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0 15]
 [ 0  6]]",0.0
18,Baseline Prior Strategy,5,0.55,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  9]
 [ 0 11]]",0.0
19,Baseline Prior Strategy,6,0.5,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 8]
 [0 8]]",0.0
20,Baseline Prior Strategy,7,0.1875,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0 13]
 [ 0  3]]",0.0
21,Baseline Prior Strategy,8,0.4,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 9]
 [0 6]]",0.0
22,Baseline Prior Strategy,9,0.6,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 6]
 [0 9]]",0.0
23,Baseline Prior Strategy,10,0.7142857142857143,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  4]
 [ 0 10]]",0.0
24,Baseline Prior Strategy,11,1.0,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,[[13]],0.015625
25,Baseline Prior Strategy,12,1.0,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,[[8]],0.015625
26,Baseline Prior Strategy,avg,0.5666314935064934,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[  0  96]
 [  0 110]]",0.03125
27,Baseline Prior Strategy,std,0.24880201671212723,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[  0  96]
 [  0 110]]",0.03125
28,Baseline Stratified Strategy,1,0.64,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[7 2]
 [7 9]]",0.015625
29,Baseline Stratified Strategy,2,0.5909090909090909,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[5 3]
 [6 8]]",0.0
30,Baseline Stratified Strategy,3,0.3333333333333333,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 4 11]
 [ 3  3]]",0.0
31,Baseline Stratified Strategy,4,0.42857142857142855,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[6 9]
 [3 3]]",0.0
32,Baseline Stratified Strategy,5,0.65,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[6 3]
 [4 7]]",0.0
33,Baseline Stratified Strategy,6,0.3125,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[1 7]
 [4 4]]",0.0
34,Baseline Stratified Strategy,7,0.375,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[5 8]
 [2 1]]",0.015625
35,Baseline Stratified Strategy,8,0.4666666666666667,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[3 6]
 [2 4]]",0.0
36,Baseline Stratified Strategy,9,0.7333333333333333,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[5 1]
 [3 6]]",0.0
37,Baseline Stratified Strategy,10,0.7142857142857143,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[2 2]
 [2 8]]",0.0
38,Baseline Stratified Strategy,11,0.5384615384615384,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 0]
 [6 7]]",0.0
39,Baseline Stratified Strategy,12,0.75,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 0]
 [2 6]]",0.0
40,Baseline Stratified Strategy,avg,0.5444217587967588,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[44 52]
 [44 66]]",0.03125
41,Baseline Stratified Strategy,std,0.15160233957962066,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[44 52]
 [44 66]]",0.03125
42,Baseline Uniform Strategy,1,0.48,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[5 4]
 [9 7]]",0.0
43,Baseline Uniform Strategy,2,0.5454545454545454,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[5 3]
 [7 7]]",0.015625
44,Baseline Uniform Strategy,3,0.3333333333333333,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 4 11]
 [ 3  3]]",0.0
45,Baseline Uniform Strategy,4,0.5238095238095238,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[7 8]
 [2 4]]",0.015625
46,Baseline Uniform Strategy,5,0.65,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[6 3]
 [4 7]]",0.0
47,Baseline Uniform Strategy,6,0.5625,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[2 6]
 [1 7]]",0.0
48,Baseline Uniform Strategy,7,0.5625,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[9 4]
 [3 0]]",0.0
49,Baseline Uniform Strategy,8,0.3333333333333333,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 9]
 [1 5]]",0.015625
50,Baseline Uniform Strategy,9,0.6666666666666666,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[3 3]
 [2 7]]",0.0
51,Baseline Uniform Strategy,10,0.5714285714285714,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[1 3]
 [3 7]]",0.0
52,Baseline Uniform Strategy,11,0.6153846153846154,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 0]
 [5 8]]",0.0
53,Baseline Uniform Strategy,12,0.25,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 0]
 [6 2]]",0.0
54,Baseline Uniform Strategy,avg,0.5078675491175492,Nested,SCALER_triads_all_features_30s_binary_Manual,Triads,All,30,"[[42 54]
 [46 64]]",0.046875
