,Model,Fold,Score,CV,Version,Group,Features,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.64,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  9]
 [ 0 16]]",0.0
1,Baseline Most Frequent Strategy,2,0.6363636363636364,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  8]
 [ 0 14]]",0.0
2,Baseline Most Frequent Strategy,3,0.2857142857142857,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0 15]
 [ 0  6]]",0.0
3,Baseline Most Frequent Strategy,4,0.2857142857142857,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0 15]
 [ 0  6]]",0.0
4,Baseline Most Frequent Strategy,5,0.55,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  9]
 [ 0 11]]",0.0
5,Baseline Most Frequent Strategy,6,0.5,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 8]
 [0 8]]",0.0
6,Baseline Most Frequent Strategy,7,0.1875,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0 13]
 [ 0  3]]",0.0
7,Baseline Most Frequent Strategy,8,0.4,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 9]
 [0 6]]",0.0
8,Baseline Most Frequent Strategy,9,0.6,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 6]
 [0 9]]",0.0
9,Baseline Most Frequent Strategy,10,0.7142857142857143,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  4]
 [ 0 10]]",0.0
10,Baseline Most Frequent Strategy,11,1.0,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,[[13]],0.0
11,Baseline Most Frequent Strategy,12,1.0,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,[[8]],0.0
12,Baseline Most Frequent Strategy,avg,0.5666314935064934,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[  0  96]
 [  0 110]]",0.0
13,Baseline Most Frequent Strategy,std,0.24880201671212723,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[  0  96]
 [  0 110]]",0.0
14,Baseline Prior Strategy,1,0.64,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  9]
 [ 0 16]]",0.015625
15,Baseline Prior Strategy,2,0.6363636363636364,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  8]
 [ 0 14]]",0.0
16,Baseline Prior Strategy,3,0.2857142857142857,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0 15]
 [ 0  6]]",0.0
17,Baseline Prior Strategy,4,0.2857142857142857,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0 15]
 [ 0  6]]",0.0
18,Baseline Prior Strategy,5,0.55,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0  9]
 [ 0 11]]",0.0
19,Baseline Prior Strategy,6,0.5,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 8]
 [0 8]]",0.0
20,Baseline Prior Strategy,7,0.1875,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[ 0 13]
 [ 0  3]]",0.015625
21,Baseline Prior Strategy,8,0.4,Nested,SIMPLE_triads_all_features_30s_binary_Manual,Triads,All,30,"[[0 9]
 [0 6]]",0.0
