,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time,Score_on_dyads,Score_on_triads
0,Baseline Most Frequent Strategy,1,0.36,Nested,SIMPLE_all_groups_f_MG_BPM_30s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_01,30,"[[ 9  0]
 [16  0]]",0.015625,0.0,0.36
1,Baseline Most Frequent Strategy,2,0.7916666666666666,Nested,SIMPLE_all_groups_f_MG_BPM_30s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_03,30,"[[19  0]
 [ 5  0]]",0.0,0.7916666666666666,0.0
2,Baseline Most Frequent Strategy,3,0.7391304347826086,Nested,SIMPLE_all_groups_f_MG_BPM_30s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_04,30,"[[17  0]
 [ 6  0]]",0.0,0.7391304347826086,0.0
3,Baseline Most Frequent Strategy,4,0.5,Nested,SIMPLE_all_groups_f_MG_BPM_30s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_05,30,"[[11  0]
 [11  0]]",0.015625,0.5,0.0
4,Baseline Most Frequent Strategy,5,0.6818181818181818,Nested,SIMPLE_all_groups_f_MG_BPM_30s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_07,30,"[[15  0]
 [ 7  0]]",0.0,0.6818181818181818,0.0
5,Baseline Most Frequent Strategy,6,0.36363636363636365,Nested,SIMPLE_all_groups_f_MG_BPM_30s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_05,30,"[[ 8  0]
 [14  0]]",0.0,0.0,0.36363636363636365
6,Baseline Most Frequent Strategy,7,0.7142857142857143,Nested,SIMPLE_all_groups_f_MG_BPM_30s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_06,30,"[[15  0]
 [ 6  0]]",0.03125,0.0,0.7142857142857143
7,Baseline Most Frequent Strategy,8,0.7142857142857143,Nested,SIMPLE_all_groups_f_MG_BPM_30s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_13,30,"[[15  0]
 [ 6  0]]",0.0,0.0,0.7142857142857143
8,Baseline Most Frequent Strategy,9,0.45,Nested,SIMPLE_all_groups_f_MG_BPM_30s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_14,30,"[[ 9  0]
 [11  0]]",0.0,0.0,0.45
9,Baseline Most Frequent Strategy,10,0.9444444444444444,Nested,SIMPLE_all_groups_f_MG_BPM_30s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_06,30,"[[17  0]
 [ 1  0]]",0.015625,0.9444444444444444,0.0
