,Model,Fold,Score,CV,Version,Group,Features,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.38461538461538464,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[5 0]
 [8 0]]",0.046875
1,Baseline Most Frequent Strategy,2,0.8333333333333334,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[10  0]
 [ 2  0]]",0.015625
2,Baseline Most Frequent Strategy,3,0.75,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[9 0]
 [3 0]]",0.0
3,Baseline Most Frequent Strategy,4,0.45454545454545453,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[5 0]
 [6 0]]",0.0
4,Baseline Most Frequent Strategy,5,0.8181818181818182,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[9 0]
 [2 0]]",0.0
5,Baseline Most Frequent Strategy,6,0.7272727272727273,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[8 0]
 [3 0]]",0.0
6,Baseline Most Frequent Strategy,7,0.36363636363636365,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[4 0]
 [7 0]]",0.015625
7,Baseline Most Frequent Strategy,8,0.8181818181818182,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[9 0]
 [2 0]]",0.015625
8,Baseline Most Frequent Strategy,9,0.6,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[6 0]
 [4 0]]",0.015625
9,Baseline Most Frequent Strategy,10,0.8888888888888888,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[8 0]
 [1 0]]",0.0
10,Baseline Most Frequent Strategy,11,0.4444444444444444,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[4 0]
 [5 0]]",0.0
11,Baseline Most Frequent Strategy,12,0.1111111111111111,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[1 0]
 [8 0]]",0.0
12,Baseline Most Frequent Strategy,13,0.375,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[3 0]
 [5 0]]",0.0
13,Baseline Most Frequent Strategy,14,0.625,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[5 0]
 [3 0]]",0.0
14,Baseline Most Frequent Strategy,15,0.375,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[3 0]
 [5 0]]",0.015625
15,Baseline Most Frequent Strategy,16,0.875,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[7 0]
 [1 0]]",0.0
16,Baseline Most Frequent Strategy,17,0.0,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[0 0]
 [7 0]]",0.0
17,Baseline Most Frequent Strategy,18,0.0,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[0 0]
 [7 0]]",0.03125
18,Baseline Most Frequent Strategy,19,0.14285714285714285,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[1 0]
 [6 0]]",0.015625
19,Baseline Most Frequent Strategy,20,0.0,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[0 0]
 [4 0]]",0.015625
20,Baseline Most Frequent Strategy,avg,0.4793534243534244,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[97  0]
 [89  0]]",0.1875
21,Baseline Most Frequent Strategy,std,0.3028034893502255,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[97  0]
 [89  0]]",0.1875
22,Baseline Prior Strategy,1,0.38461538461538464,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[5 0]
 [8 0]]",0.0
23,Baseline Prior Strategy,2,0.8333333333333334,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[10  0]
 [ 2  0]]",0.0
24,Baseline Prior Strategy,3,0.75,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[9 0]
 [3 0]]",0.0
25,Baseline Prior Strategy,4,0.45454545454545453,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[5 0]
 [6 0]]",0.015625
26,Baseline Prior Strategy,5,0.8181818181818182,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[9 0]
 [2 0]]",0.0
27,Baseline Prior Strategy,6,0.7272727272727273,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[8 0]
 [3 0]]",0.0
28,Baseline Prior Strategy,7,0.36363636363636365,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[4 0]
 [7 0]]",0.0
29,Baseline Prior Strategy,8,0.8181818181818182,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[9 0]
 [2 0]]",0.0
30,Baseline Prior Strategy,9,0.6,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[6 0]
 [4 0]]",0.015625
31,Baseline Prior Strategy,10,0.8888888888888888,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[8 0]
 [1 0]]",0.046875
32,Baseline Prior Strategy,11,0.4444444444444444,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[4 0]
 [5 0]]",0.0
33,Baseline Prior Strategy,12,0.1111111111111111,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[1 0]
 [8 0]]",0.0
34,Baseline Prior Strategy,13,0.375,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[3 0]
 [5 0]]",0.0
35,Baseline Prior Strategy,14,0.625,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[5 0]
 [3 0]]",0.015625
36,Baseline Prior Strategy,15,0.375,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[3 0]
 [5 0]]",0.0
37,Baseline Prior Strategy,16,0.875,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[7 0]
 [1 0]]",0.0
38,Baseline Prior Strategy,17,0.0,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[0 0]
 [7 0]]",0.0
39,Baseline Prior Strategy,18,0.0,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[0 0]
 [7 0]]",0.0
40,Baseline Prior Strategy,19,0.14285714285714285,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[1 0]
 [6 0]]",0.0
41,Baseline Prior Strategy,20,0.0,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[0 0]
 [4 0]]",0.0
42,Baseline Prior Strategy,avg,0.4793534243534244,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[97  0]
 [89  0]]",0.09375
43,Baseline Prior Strategy,std,0.3028034893502255,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[97  0]
 [89  0]]",0.09375
44,Baseline Stratified Strategy,1,0.6923076923076923,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[4 1]
 [3 5]]",0.0
45,Baseline Stratified Strategy,2,0.3333333333333333,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[3 7]
 [1 1]]",0.0
46,Baseline Stratified Strategy,3,0.3333333333333333,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[3 6]
 [2 1]]",0.0
47,Baseline Stratified Strategy,4,0.6363636363636364,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[3 2]
 [2 4]]",0.015625
48,Baseline Stratified Strategy,5,0.45454545454545453,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[4 5]
 [1 1]]",0.0
49,Baseline Stratified Strategy,6,0.36363636363636365,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[2 6]
 [1 2]]",0.0
50,Baseline Stratified Strategy,7,0.36363636363636365,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[1 3]
 [4 3]]",0.0
51,Baseline Stratified Strategy,8,0.36363636363636365,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[4 5]
 [2 0]]",0.0
52,Baseline Stratified Strategy,9,0.7,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[3 3]
 [0 4]]",0.0
53,Baseline Stratified Strategy,10,0.5555555555555556,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[5 3]
 [1 0]]",0.0
54,Baseline Stratified Strategy,11,0.5555555555555556,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[1 3]
 [1 4]]",0.0
55,Baseline Stratified Strategy,12,0.2222222222222222,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[0 1]
 [6 2]]",0.015625
56,Baseline Stratified Strategy,13,0.375,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[1 2]
 [3 2]]",0.0
57,Baseline Stratified Strategy,14,0.375,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[2 3]
 [2 1]]",0.0
58,Baseline Stratified Strategy,15,0.625,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[2 1]
 [2 3]]",0.0
59,Baseline Stratified Strategy,16,0.375,Nested,SCALER_all_groups_all_features_60s_binary_Manual,All,All,60,"[[3 4]
 [1 0]]",0.015625
