,Model,Fold,Score,CV,Version,Group,Features,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.38461538461538464,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_Manual,All,AIxVR,60,"[[5 0]
 [8 0]]",0.015625
1,Baseline Most Frequent Strategy,2,0.8333333333333334,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_Manual,All,AIxVR,60,"[[10  0]
 [ 2  0]]",0.0
2,Baseline Most Frequent Strategy,3,0.75,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_Manual,All,AIxVR,60,"[[9 0]
 [3 0]]",0.0
3,Baseline Most Frequent Strategy,4,0.45454545454545453,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_Manual,All,AIxVR,60,"[[5 0]
 [6 0]]",0.0
4,Baseline Most Frequent Strategy,5,0.8181818181818182,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_Manual,All,AIxVR,60,"[[9 0]
 [2 0]]",0.015625
5,Baseline Most Frequent Strategy,6,0.7272727272727273,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_Manual,All,AIxVR,60,"[[8 0]
 [3 0]]",0.0
6,Baseline Most Frequent Strategy,7,0.36363636363636365,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_Manual,All,AIxVR,60,"[[4 0]
 [7 0]]",0.0
7,Baseline Most Frequent Strategy,8,0.8181818181818182,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_Manual,All,AIxVR,60,"[[9 0]
 [2 0]]",0.0
8,Baseline Most Frequent Strategy,9,0.6,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_Manual,All,AIxVR,60,"[[6 0]
 [4 0]]",0.0
9,Baseline Most Frequent Strategy,10,0.8888888888888888,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_Manual,All,AIxVR,60,"[[8 0]
 [1 0]]",0.0
10,Baseline Most Frequent Strategy,11,0.4444444444444444,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_Manual,All,AIxVR,60,"[[4 0]
 [5 0]]",0.0
