,Model,Fold,Score,CV,Version,Group,Features,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.6153846153846154,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 5]
 [0 8]]",0.0
1,Baseline Most Frequent Strategy,2,0.18181818181818182,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 9]
 [0 2]]",0.0
2,Baseline Most Frequent Strategy,3,0.2727272727272727,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 8]
 [0 3]]",0.0
3,Baseline Most Frequent Strategy,4,0.6363636363636364,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 4]
 [0 7]]",0.0
4,Baseline Most Frequent Strategy,5,0.4,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 6]
 [0 4]]",0.0
5,Baseline Most Frequent Strategy,6,0.625,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 3]
 [0 5]]",0.0
6,Baseline Most Frequent Strategy,7,0.375,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 5]
 [0 3]]",0.0
7,Baseline Most Frequent Strategy,8,0.625,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 3]
 [0 5]]",0.0
8,Baseline Most Frequent Strategy,9,0.125,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 7]
 [0 1]]",0.0
9,Baseline Most Frequent Strategy,10,0.14285714285714285,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[1 0]
 [6 0]]",0.0
10,Baseline Most Frequent Strategy,11,0.0,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 0]
 [7 0]]",0.0
11,Baseline Most Frequent Strategy,12,0.0,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 0]
 [4 0]]",0.0
12,Baseline Most Frequent Strategy,avg,0.33326257076257076,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[ 1 50]
 [17 38]]",0.046875
13,Baseline Most Frequent Strategy,std,0.2373878313149397,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[ 1 50]
 [17 38]]",0.046875
14,Baseline Prior Strategy,1,0.6153846153846154,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 5]
 [0 8]]",0.0
15,Baseline Prior Strategy,2,0.18181818181818182,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 9]
 [0 2]]",0.0
16,Baseline Prior Strategy,3,0.2727272727272727,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 8]
 [0 3]]",0.0
17,Baseline Prior Strategy,4,0.6363636363636364,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 4]
 [0 7]]",0.0
18,Baseline Prior Strategy,5,0.4,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 6]
 [0 4]]",0.015625
19,Baseline Prior Strategy,6,0.625,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 3]
 [0 5]]",0.015625
20,Baseline Prior Strategy,7,0.375,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 5]
 [0 3]]",0.015625
21,Baseline Prior Strategy,8,0.625,Nested,SCALER_triads_f_BPM_60s_binary_Manual,Triads,AIxVR,60,"[[0 3]
 [0 5]]",0.015625
