,Model,Fold,Score,CV,Version,Group,Features,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.75,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[9 0]
 [3 0]]",0.0
1,Baseline Most Frequent Strategy,2,0.8333333333333334,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[10  0]
 [ 2  0]]",0.0
2,Baseline Most Frequent Strategy,3,0.8181818181818182,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[9 0]
 [2 0]]",0.015625
3,Baseline Most Frequent Strategy,4,0.45454545454545453,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[5 0]
 [6 0]]",0.0
4,Baseline Most Frequent Strategy,5,0.4444444444444444,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[4 0]
 [5 0]]",0.0
5,Baseline Most Frequent Strategy,6,0.8888888888888888,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[8 0]
 [1 0]]",0.0
6,Baseline Most Frequent Strategy,7,0.1111111111111111,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[1 0]
 [8 0]]",0.015625
7,Baseline Most Frequent Strategy,8,0.0,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[0 0]
 [7 0]]",0.0
8,Baseline Most Frequent Strategy,avg,0.5375631313131314,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[46  0]
 [34  0]]",0.03125
9,Baseline Most Frequent Strategy,std,0.32038737122393207,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[46  0]
 [34  0]]",0.03125
10,Baseline Prior Strategy,1,0.75,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[9 0]
 [3 0]]",0.0
11,Baseline Prior Strategy,2,0.8333333333333334,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[10  0]
 [ 2  0]]",0.0
12,Baseline Prior Strategy,3,0.8181818181818182,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[9 0]
 [2 0]]",0.0
13,Baseline Prior Strategy,4,0.45454545454545453,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[5 0]
 [6 0]]",0.0
14,Baseline Prior Strategy,5,0.4444444444444444,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[4 0]
 [5 0]]",0.0
15,Baseline Prior Strategy,6,0.8888888888888888,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[8 0]
 [1 0]]",0.0
16,Baseline Prior Strategy,7,0.1111111111111111,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[1 0]
 [8 0]]",0.0
17,Baseline Prior Strategy,8,0.0,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[0 0]
 [7 0]]",0.015625
18,Baseline Prior Strategy,avg,0.5375631313131314,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[46  0]
 [34  0]]",0.015625
19,Baseline Prior Strategy,std,0.32038737122393207,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[46  0]
 [34  0]]",0.015625
20,Baseline Stratified Strategy,1,0.5833333333333334,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[6 3]
 [2 1]]",0.0
21,Baseline Stratified Strategy,2,0.5833333333333334,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[6 4]
 [1 1]]",0.015625
22,Baseline Stratified Strategy,3,0.7272727272727273,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[7 2]
 [1 1]]",0.0
23,Baseline Stratified Strategy,4,0.5454545454545454,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[5 0]
 [5 1]]",0.0
24,Baseline Stratified Strategy,5,0.5555555555555556,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[2 2]
 [2 3]]",0.015625
25,Baseline Stratified Strategy,6,0.6666666666666666,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[5 3]
 [0 1]]",0.015625
26,Baseline Stratified Strategy,7,0.5555555555555556,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[1 0]
 [4 4]]",0.0
27,Baseline Stratified Strategy,8,0.7142857142857143,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[0 0]
 [2 5]]",0.015625
28,Baseline Stratified Strategy,avg,0.6164321789321789,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[32 14]
 [17 17]]",0.0625
29,Baseline Stratified Strategy,std,0.06984381097946478,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[32 14]
 [17 17]]",0.0625
30,Baseline Uniform Strategy,1,0.5,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[4 5]
 [1 2]]",0.0
31,Baseline Uniform Strategy,2,0.3333333333333333,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[4 6]
 [2 0]]",0.015625
32,Baseline Uniform Strategy,3,0.5454545454545454,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[5 4]
 [1 1]]",0.015625
33,Baseline Uniform Strategy,4,0.6363636363636364,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[3 2]
 [2 4]]",0.0
34,Baseline Uniform Strategy,5,0.4444444444444444,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[2 2]
 [3 2]]",0.03125
35,Baseline Uniform Strategy,6,0.4444444444444444,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[4 4]
 [1 0]]",0.0
36,Baseline Uniform Strategy,7,0.7777777777777778,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[1 0]
 [2 6]]",0.0
37,Baseline Uniform Strategy,8,0.7142857142857143,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[0 0]
 [2 5]]",0.0
38,Baseline Uniform Strategy,avg,0.5495129870129869,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[23 23]
 [14 20]]",0.0625
39,Baseline Uniform Strategy,std,0.1405695328028346,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[23 23]
 [14 20]]",0.0625
40,Nearest Neighbors Test,1,0.75,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[9 0]
 [3 0]]",0.0
41,Nearest Neighbors Test,2,0.75,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[9 1]
 [2 0]]",0.015625
42,Nearest Neighbors Test,3,0.6363636363636364,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[7 2]
 [2 0]]",0.015625
43,Nearest Neighbors Test,4,0.6363636363636364,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[3 2]
 [2 4]]",0.015625
44,Nearest Neighbors Test,5,0.4444444444444444,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[4 0]
 [5 0]]",0.046875
45,Nearest Neighbors Test,6,0.7777777777777778,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[7 1]
 [1 0]]",0.03125
46,Nearest Neighbors Test,7,0.7777777777777778,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[0 1]
 [1 7]]",0.03125
47,Nearest Neighbors Test,8,0.42857142857142855,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[0 0]
 [4 3]]",0.015625
48,Nearest Neighbors Test,avg,0.6501623376623377,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[39  7]
 [20 14]]",0.171875
49,Nearest Neighbors Test,std,0.1343082786217117,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[39  7]
 [20 14]]",0.171875
50,Nearest Neighbors,1,0.75,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[9 0]
 [3 0]]",0.203125
51,Nearest Neighbors,2,0.75,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[9 1]
 [2 0]]",0.359375
52,Nearest Neighbors,3,0.8181818181818182,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[9 0]
 [2 0]]",0.25
53,Nearest Neighbors,4,0.7272727272727273,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[3 2]
 [1 5]]",0.40625
54,Nearest Neighbors,5,0.4444444444444444,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[4 0]
 [5 0]]",0.25
55,Nearest Neighbors,6,0.7777777777777778,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[7 1]
 [1 0]]",0.21875
56,Nearest Neighbors,7,0.8888888888888888,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[0 1]
 [0 8]]",0.265625
57,Nearest Neighbors,8,0.2857142857142857,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[0 0]
 [5 2]]",0.265625
58,Nearest Neighbors,avg,0.6802849927849928,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[41  5]
 [19 15]]",2.21875
59,Nearest Neighbors,std,0.19211682052335113,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[41  5]
 [19 15]]",2.21875
60,Linear SVM l1,1,0.8333333333333334,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[9 0]
 [2 1]]",0.0
61,Linear SVM l1,2,0.8333333333333334,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[10  0]
 [ 2  0]]",0.046875
62,Linear SVM l1,3,0.8181818181818182,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[9 0]
 [2 0]]",0.0
63,Linear SVM l1,4,0.45454545454545453,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[5 0]
 [6 0]]",0.03125
64,Linear SVM l1,5,0.5555555555555556,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[0 4]
 [0 5]]",0.046875
65,Linear SVM l1,6,0.8888888888888888,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[8 0]
 [1 0]]",0.0
66,Linear SVM l1,7,0.7777777777777778,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[0 1]
 [1 7]]",0.03125
67,Linear SVM l1,8,0.8571428571428571,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[0 0]
 [1 6]]",0.0
68,Linear SVM l1,avg,0.7523448773448773,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[41  5]
 [15 19]]",0.15625
69,Linear SVM l1,std,0.1479598814958908,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[41  5]
 [15 19]]",0.15625
70,Linear SVM l2,1,0.8333333333333334,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[9 0]
 [2 1]]",0.03125
71,Linear SVM l2,2,0.8333333333333334,Nested,SIMPLE_dyads_all_features_60s_binary_Manual,Dyads,All,60,"[[10  0]
 [ 2  0]]",0.0625
