,Model,Fold,Score,CV,Version,Group,Features,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.75,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[9 0]
 [3 0]]",0.0
1,Baseline Most Frequent Strategy,2,0.8333333333333334,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[10  0]
 [ 2  0]]",0.0
2,Baseline Most Frequent Strategy,3,0.8181818181818182,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[9 0]
 [2 0]]",0.0
3,Baseline Most Frequent Strategy,4,0.45454545454545453,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[5 0]
 [6 0]]",0.0
4,Baseline Most Frequent Strategy,5,0.4444444444444444,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[4 0]
 [5 0]]",0.0
5,Baseline Most Frequent Strategy,6,0.8888888888888888,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[8 0]
 [1 0]]",0.0
6,Baseline Most Frequent Strategy,7,0.1111111111111111,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[1 0]
 [8 0]]",0.0
7,Baseline Most Frequent Strategy,8,0.0,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[0 0]
 [7 0]]",0.0
8,Baseline Most Frequent Strategy,avg,0.5375631313131314,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[46  0]
 [34  0]]",0.0
9,Baseline Most Frequent Strategy,std,0.32038737122393207,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[46  0]
 [34  0]]",0.0
10,Baseline Prior Strategy,1,0.75,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[9 0]
 [3 0]]",0.015625
11,Baseline Prior Strategy,2,0.8333333333333334,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[10  0]
 [ 2  0]]",0.0
12,Baseline Prior Strategy,3,0.8181818181818182,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[9 0]
 [2 0]]",0.0
13,Baseline Prior Strategy,4,0.45454545454545453,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[5 0]
 [6 0]]",0.0
14,Baseline Prior Strategy,5,0.4444444444444444,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[4 0]
 [5 0]]",0.0
15,Baseline Prior Strategy,6,0.8888888888888888,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[8 0]
 [1 0]]",0.0
16,Baseline Prior Strategy,7,0.1111111111111111,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[1 0]
 [8 0]]",0.0
17,Baseline Prior Strategy,8,0.0,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[0 0]
 [7 0]]",0.0
18,Baseline Prior Strategy,avg,0.5375631313131314,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[46  0]
 [34  0]]",0.015625
19,Baseline Prior Strategy,std,0.32038737122393207,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[46  0]
 [34  0]]",0.015625
20,Baseline Stratified Strategy,1,0.75,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[8 1]
 [2 1]]",0.0
21,Baseline Stratified Strategy,2,0.5,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[5 5]
 [1 1]]",0.0
22,Baseline Stratified Strategy,3,0.36363636363636365,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[4 5]
 [2 0]]",0.0
23,Baseline Stratified Strategy,4,0.5454545454545454,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[4 1]
 [4 2]]",0.0
24,Baseline Stratified Strategy,5,0.4444444444444444,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[2 2]
 [3 2]]",0.0
25,Baseline Stratified Strategy,6,0.2222222222222222,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[2 6]
 [1 0]]",0.015625
26,Baseline Stratified Strategy,7,0.5555555555555556,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[1 0]
 [4 4]]",0.015625
27,Baseline Stratified Strategy,8,0.14285714285714285,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[0 0]
 [6 1]]",0.0
28,Baseline Stratified Strategy,avg,0.4405212842712843,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[26 20]
 [23 11]]",0.03125
29,Baseline Stratified Strategy,std,0.18225797985561257,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[26 20]
 [23 11]]",0.03125
30,Baseline Uniform Strategy,1,0.5,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[5 4]
 [2 1]]",0.0
31,Baseline Uniform Strategy,2,0.25,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[2 8]
 [1 1]]",0.0
32,Baseline Uniform Strategy,3,0.36363636363636365,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[3 6]
 [1 1]]",0.015625
33,Baseline Uniform Strategy,4,0.5454545454545454,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[2 3]
 [2 4]]",0.0
34,Baseline Uniform Strategy,5,0.0,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[0 4]
 [5 0]]",0.0
35,Baseline Uniform Strategy,6,0.5555555555555556,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[5 3]
 [1 0]]",0.0
36,Baseline Uniform Strategy,7,0.6666666666666666,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[0 1]
 [2 6]]",0.0
37,Baseline Uniform Strategy,8,0.8571428571428571,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[0 0]
 [1 6]]",0.0
38,Baseline Uniform Strategy,avg,0.46730699855699853,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[17 29]
 [15 19]]",0.015625
39,Baseline Uniform Strategy,std,0.24571978863560318,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[17 29]
 [15 19]]",0.015625
40,Nearest Neighbors Test,1,0.6666666666666666,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[8 1]
 [3 0]]",0.015625
41,Nearest Neighbors Test,2,0.5833333333333334,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[7 3]
 [2 0]]",0.0
42,Nearest Neighbors Test,3,0.36363636363636365,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[4 5]
 [2 0]]",0.0
43,Nearest Neighbors Test,4,0.45454545454545453,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[5 0]
 [6 0]]",0.0
44,Nearest Neighbors Test,5,0.5555555555555556,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[0 4]
 [0 5]]",0.0
45,Nearest Neighbors Test,6,0.7777777777777778,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[7 1]
 [1 0]]",0.0
46,Nearest Neighbors Test,7,0.8888888888888888,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[0 1]
 [0 8]]",0.0
47,Nearest Neighbors Test,8,0.7142857142857143,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[0 0]
 [2 5]]",0.015625
48,Nearest Neighbors Test,avg,0.6255862193362194,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[31 15]
 [16 18]]",0.03125
49,Nearest Neighbors Test,std,0.16070471375247364,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[31 15]
 [16 18]]",0.03125
50,Nearest Neighbors,1,0.75,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[7 2]
 [1 2]]",0.140625
51,Nearest Neighbors,2,0.8333333333333334,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[10  0]
 [ 2  0]]",0.234375
52,Nearest Neighbors,3,0.36363636363636365,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[4 5]
 [2 0]]",0.15625
53,Nearest Neighbors,4,0.45454545454545453,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[5 0]
 [6 0]]",0.09375
54,Nearest Neighbors,5,0.5555555555555556,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[0 4]
 [0 5]]",0.328125
55,Nearest Neighbors,6,0.8888888888888888,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[8 0]
 [1 0]]",0.3125
56,Nearest Neighbors,7,0.8888888888888888,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_Manual,Dyads,AIxVR,60,"[[0 1]
 [0 8]]",0.09375
