,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.8333333333333334,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_03,60,"[[10  0]
 [ 2  0]]",0.0
1,Baseline Most Frequent Strategy,2,0.6363636363636364,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_07,60,"[[7 0]
 [4 0]]",0.015625
2,Baseline Most Frequent Strategy,3,0.45454545454545453,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_05,60,"[[5 0]
 [6 0]]",0.0
3,Baseline Most Frequent Strategy,4,0.8181818181818182,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_04,60,"[[9 0]
 [2 0]]",0.0
4,Baseline Most Frequent Strategy,5,0.4444444444444444,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_11,60,"[[4 0]
 [5 0]]",0.015625
5,Baseline Most Frequent Strategy,6,1.0,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_06,60,[[9]],0.015625
6,Baseline Most Frequent Strategy,7,0.4444444444444444,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_02,60,"[[4 0]
 [5 0]]",0.0
7,Baseline Most Frequent Strategy,8,0.14285714285714285,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_10,60,"[[1 0]
 [6 0]]",0.0
8,Baseline Most Frequent Strategy,avg,0.5967712842712842,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,avg,60,"[[49  0]
 [30  0]]",0.046875
9,Baseline Most Frequent Strategy,std,0.26024467953149844,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,std,60,"[[49  0]
 [30  0]]",0.046875
10,Baseline Prior Strategy,1,0.8333333333333334,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_03,60,"[[10  0]
 [ 2  0]]",0.0
11,Baseline Prior Strategy,2,0.6363636363636364,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_07,60,"[[7 0]
 [4 0]]",0.0
12,Baseline Prior Strategy,3,0.45454545454545453,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_05,60,"[[5 0]
 [6 0]]",0.015625
13,Baseline Prior Strategy,4,0.8181818181818182,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_04,60,"[[9 0]
 [2 0]]",0.0
14,Baseline Prior Strategy,5,0.4444444444444444,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_11,60,"[[4 0]
 [5 0]]",0.015625
15,Baseline Prior Strategy,6,1.0,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_06,60,[[9]],0.0
16,Baseline Prior Strategy,7,0.4444444444444444,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_02,60,"[[4 0]
 [5 0]]",0.0
17,Baseline Prior Strategy,8,0.14285714285714285,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_10,60,"[[1 0]
 [6 0]]",0.0
18,Baseline Prior Strategy,avg,0.5967712842712842,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,avg,60,"[[49  0]
 [30  0]]",0.03125
19,Baseline Prior Strategy,std,0.26024467953149844,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,std,60,"[[49  0]
 [30  0]]",0.03125
20,Baseline Stratified Strategy,1,0.5833333333333334,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_03,60,"[[5 5]
 [0 2]]",0.0
21,Baseline Stratified Strategy,2,0.5454545454545454,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_07,60,"[[3 4]
 [1 3]]",0.0
22,Baseline Stratified Strategy,3,0.2727272727272727,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_05,60,"[[2 3]
 [5 1]]",0.0
23,Baseline Stratified Strategy,4,0.5454545454545454,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_04,60,"[[5 4]
 [1 1]]",0.0
24,Baseline Stratified Strategy,5,0.3333333333333333,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_11,60,"[[2 2]
 [4 1]]",0.0
25,Baseline Stratified Strategy,6,0.5555555555555556,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_06,60,"[[5 4]
 [0 0]]",0.0
26,Baseline Stratified Strategy,7,0.6666666666666666,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_02,60,"[[4 0]
 [3 2]]",0.0
27,Baseline Stratified Strategy,8,0.2857142857142857,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_10,60,"[[1 0]
 [5 1]]",0.0
28,Baseline Stratified Strategy,avg,0.4735299422799423,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,avg,60,"[[27 22]
 [19 11]]",0.0
29,Baseline Stratified Strategy,std,0.14216390163352907,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,std,60,"[[27 22]
 [19 11]]",0.0
30,Baseline Uniform Strategy,1,0.3333333333333333,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_03,60,"[[4 6]
 [2 0]]",0.0
31,Baseline Uniform Strategy,2,0.6363636363636364,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_07,60,"[[4 3]
 [1 3]]",0.0
32,Baseline Uniform Strategy,3,0.2727272727272727,Nested,SCALER_dyads_f_Blinks_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks,dyad_05,60,"[[2 3]
 [5 1]]",0.0
