,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time,Score_on_dyads,Score_on_triads
0,Baseline Uniform Strategy,1,0.5384615384615384,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_01,60,"[[3 2]
 [4 4]]",0.0,0.0,0.5384615384615384
1,Baseline Uniform Strategy,2,0.5,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_03,60,"[[5 5]
 [1 1]]",0.0,0.5,0.0
2,Baseline Uniform Strategy,3,0.45454545454545453,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_04,60,"[[4 5]
 [1 1]]",0.0,0.45454545454545453,0.0
3,Baseline Uniform Strategy,4,0.5454545454545454,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_05,60,"[[4 1]
 [4 2]]",0.015625,0.5454545454545454,0.0
4,Baseline Uniform Strategy,5,0.36363636363636365,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_07,60,"[[3 4]
 [3 1]]",0.0,0.36363636363636365,0.0
5,Baseline Uniform Strategy,6,0.2727272727272727,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_06,60,"[[2 7]
 [1 1]]",0.015625,0.0,0.2727272727272727
6,Baseline Uniform Strategy,7,0.45454545454545453,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_05,60,"[[1 3]
 [3 4]]",0.0,0.0,0.45454545454545453
7,Baseline Uniform Strategy,8,0.45454545454545453,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_13,60,"[[4 3]
 [3 1]]",0.0,0.0,0.45454545454545453
8,Baseline Uniform Strategy,9,0.3,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_14,60,"[[1 3]
 [4 2]]",0.0,0.0,0.3
9,Baseline Uniform Strategy,10,0.4444444444444444,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_06,60,"[[4 5]
 [0 0]]",0.0,0.4444444444444444,0.0
10,Baseline Uniform Strategy,11,0.6666666666666666,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_11,60,"[[2 2]
 [1 4]]",0.0,0.6666666666666666,0.0
11,Baseline Uniform Strategy,12,0.5555555555555556,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_02,60,"[[3 1]
 [3 2]]",0.0,0.5555555555555556,0.0
12,Baseline Uniform Strategy,13,0.5,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_07,60,"[[1 2]
 [2 3]]",0.0,0.0,0.5
13,Baseline Uniform Strategy,14,0.5,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_09,60,"[[1 3]
 [1 3]]",0.0,0.0,0.5
14,Baseline Uniform Strategy,15,0.375,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_12,60,"[[1 4]
 [1 2]]",0.015625,0.0,0.375
15,Baseline Uniform Strategy,16,0.375,Nested,SCALER_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_02,60,"[[2 4]
 [1 1]]",0.015625,0.0,0.375
