,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Uniform Strategy,1,0.5,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_03,60,"[[6 4]
 [2 0]]",0.0
1,Baseline Uniform Strategy,2,0.45454545454545453,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_07,60,"[[5 2]
 [4 0]]",0.0
2,Baseline Uniform Strategy,3,0.6363636363636364,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_05,60,"[[2 3]
 [1 5]]",0.0
3,Baseline Uniform Strategy,4,0.2727272727272727,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_04,60,"[[3 6]
 [2 0]]",0.0
4,Baseline Uniform Strategy,5,0.4444444444444444,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_11,60,"[[3 1]
 [4 1]]",0.0
5,Baseline Uniform Strategy,6,0.4444444444444444,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_06,60,"[[4 5]
 [0 0]]",0.0
6,Baseline Uniform Strategy,7,0.2222222222222222,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_02,60,"[[2 2]
 [5 0]]",0.0
7,Baseline Uniform Strategy,8,0.5714285714285714,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_10,60,"[[1 0]
 [3 3]]",0.0
8,Baseline Uniform Strategy,avg,0.44327200577200576,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,avg,60,"[[26 23]
 [21  9]]",0.03125
9,Baseline Uniform Strategy,std,0.1299061685907303,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,std,60,"[[26 23]
 [21  9]]",0.03125
10,Nearest Neighbors,1,0.5833333333333334,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_03,60,"[[7 3]
 [2 0]]",1.015625
11,Nearest Neighbors,2,0.6363636363636364,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_07,60,"[[7 0]
 [4 0]]",0.734375
12,Nearest Neighbors,3,0.45454545454545453,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_05,60,"[[4 1]
 [5 1]]",1.1875
13,Nearest Neighbors,4,0.6363636363636364,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_04,60,"[[7 2]
 [2 0]]",1.1875
14,Nearest Neighbors,5,0.4444444444444444,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_11,60,"[[4 0]
 [5 0]]",0.921875
15,Nearest Neighbors,6,0.7777777777777778,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_06,60,"[[7 2]
 [0 0]]",0.96875
16,Nearest Neighbors,7,0.5555555555555556,Nested,SIMPLE_dyads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIED,dyad_02,60,"[[0 4]
 [0 5]]",0.265625
