,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Uniform Strategy,1,0.5384615384615384,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_01,60,"[[3 2]
 [4 4]]",0.0
1,Baseline Uniform Strategy,2,0.8181818181818182,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_13,60,"[[5 2]
 [0 4]]",0.0
2,Baseline Uniform Strategy,3,0.5454545454545454,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_06,60,"[[6 3]
 [2 0]]",0.015625
3,Baseline Uniform Strategy,4,0.6363636363636364,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_05,60,"[[3 1]
 [3 4]]",0.0
4,Baseline Uniform Strategy,5,0.5,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_14,60,"[[2 2]
 [3 3]]",0.0
5,Baseline Uniform Strategy,6,0.375,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_12,60,"[[1 4]
 [1 2]]",0.0
6,Baseline Uniform Strategy,7,0.375,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_09,60,"[[2 2]
 [3 1]]",0.015625
7,Baseline Uniform Strategy,8,0.25,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_07,60,"[[1 2]
 [4 1]]",0.0
8,Baseline Uniform Strategy,9,0.25,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_02,60,"[[1 5]
 [1 1]]",0.0
9,Baseline Uniform Strategy,10,0.42857142857142855,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_10,60,"[[0 1]
 [3 3]]",0.0
