,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time,Score_on_dyads,Score_on_triads
0,Baseline Uniform Strategy,1,0.6153846153846154,Nested,SCALER_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,triad_01,60,"[[3 2]
 [3 5]]",0.015625,0.0,0.6153846153846154
1,Baseline Uniform Strategy,2,0.5,Nested,SCALER_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,dyad_03,60,"[[5 5]
 [1 1]]",0.0,0.5,0.0
2,Baseline Uniform Strategy,3,0.5454545454545454,Nested,SCALER_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,dyad_04,60,"[[6 3]
 [2 0]]",0.015625,0.5454545454545454,0.0
3,Baseline Uniform Strategy,4,0.5454545454545454,Nested,SCALER_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,dyad_05,60,"[[3 2]
 [3 3]]",0.03125,0.5454545454545454,0.0
4,Baseline Uniform Strategy,5,0.5454545454545454,Nested,SCALER_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,dyad_07,60,"[[4 3]
 [2 2]]",0.015625,0.5454545454545454,0.0
5,Baseline Uniform Strategy,6,0.45454545454545453,Nested,SCALER_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,triad_06,60,"[[4 5]
 [1 1]]",0.0,0.0,0.45454545454545453
6,Baseline Uniform Strategy,7,0.45454545454545453,Nested,SCALER_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,triad_05,60,"[[3 1]
 [5 2]]",0.015625,0.0,0.45454545454545453
7,Baseline Uniform Strategy,8,0.5454545454545454,Nested,SCALER_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,triad_13,60,"[[2 5]
 [0 4]]",0.0,0.0,0.5454545454545454
8,Baseline Uniform Strategy,9,0.5,Nested,SCALER_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,triad_14,60,"[[2 2]
 [3 3]]",0.0,0.0,0.5
9,Baseline Uniform Strategy,10,0.4444444444444444,Nested,SCALER_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,dyad_06,60,"[[4 5]
 [0 0]]",0.015625,0.4444444444444444,0.0
