,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Uniform Strategy,1,0.3333333333333333,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_03,60,"[[4 6]
 [2 0]]",0.0
1,Baseline Uniform Strategy,2,0.5454545454545454,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_07,60,"[[4 3]
 [2 2]]",0.0
2,Baseline Uniform Strategy,3,0.6363636363636364,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_05,60,"[[3 2]
 [2 4]]",0.0
3,Baseline Uniform Strategy,4,0.5454545454545454,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_04,60,"[[5 4]
 [1 1]]",0.0
4,Baseline Uniform Strategy,5,0.5555555555555556,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_11,60,"[[2 2]
 [2 3]]",0.0
5,Baseline Uniform Strategy,6,0.4444444444444444,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_06,60,"[[4 5]
 [0 0]]",0.0
6,Baseline Uniform Strategy,7,0.2222222222222222,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_02,60,"[[1 3]
 [4 1]]",0.0
7,Baseline Uniform Strategy,8,0.42857142857142855,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_10,60,"[[0 1]
 [3 3]]",0.0
8,Baseline Uniform Strategy,avg,0.4639249639249639,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,avg,60,"[[23 26]
 [16 14]]",0.0
9,Baseline Uniform Strategy,std,0.12675229723371345,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,std,60,"[[23 26]
 [16 14]]",0.0
10,Nearest Neighbors,1,0.8333333333333334,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_03,60,"[[10  0]
 [ 2  0]]",0.75
11,Nearest Neighbors,2,0.6363636363636364,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_07,60,"[[7 0]
 [4 0]]",0.53125
12,Nearest Neighbors,3,0.45454545454545453,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_05,60,"[[5 0]
 [6 0]]",0.53125
13,Nearest Neighbors,4,0.7272727272727273,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_04,60,"[[8 1]
 [2 0]]",0.5
14,Nearest Neighbors,5,0.5555555555555556,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_11,60,"[[0 4]
 [0 5]]",0.421875
15,Nearest Neighbors,6,0.8888888888888888,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_06,60,"[[8 1]
 [0 0]]",0.4375
16,Nearest Neighbors,7,0.5555555555555556,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_02,60,"[[0 4]
 [0 5]]",0.40625
17,Nearest Neighbors,8,0.2857142857142857,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_10,60,"[[1 0]
 [5 1]]",1.234375
18,Nearest Neighbors,avg,0.6171536796536796,Nested,SCALER_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,avg,60,"[[39 10]
 [19 11]]",4.8125
