,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time,Score_on_dyads,Score_on_triads
0,Baseline Uniform Strategy,1,0.6153846153846154,Nested,SIMPLE_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,triad_01,60,"[[3 2]
 [3 5]]",0.046875,0.0,0.6153846153846154
1,Baseline Uniform Strategy,2,0.4166666666666667,Nested,SIMPLE_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,dyad_03,60,"[[5 5]
 [2 0]]",0.015625,0.4166666666666667,0.0
2,Baseline Uniform Strategy,3,0.7272727272727273,Nested,SIMPLE_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,dyad_04,60,"[[6 3]
 [0 2]]",0.0,0.7272727272727273,0.0
3,Baseline Uniform Strategy,4,0.5454545454545454,Nested,SIMPLE_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,dyad_05,60,"[[3 2]
 [3 3]]",0.0,0.5454545454545454,0.0
4,Baseline Uniform Strategy,5,0.6363636363636364,Nested,SIMPLE_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,dyad_07,60,"[[6 1]
 [3 1]]",0.0,0.6363636363636364,0.0
5,Baseline Uniform Strategy,6,0.7272727272727273,Nested,SIMPLE_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,triad_06,60,"[[7 2]
 [1 1]]",0.0,0.0,0.7272727272727273
6,Baseline Uniform Strategy,7,0.36363636363636365,Nested,SIMPLE_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,triad_05,60,"[[1 3]
 [4 3]]",0.0,0.0,0.36363636363636365
7,Baseline Uniform Strategy,8,0.2727272727272727,Nested,SIMPLE_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,triad_13,60,"[[2 5]
 [3 1]]",0.0,0.0,0.2727272727272727
8,Baseline Uniform Strategy,9,0.3,Nested,SIMPLE_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,triad_14,60,"[[2 2]
 [5 1]]",0.015625,0.0,0.3
9,Baseline Uniform Strategy,10,0.4444444444444444,Nested,SIMPLE_all_groups_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIED,dyad_06,60,"[[4 5]
 [0 0]]",0.015625,0.4444444444444444,0.0
