,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Uniform Strategy,1,0.4166666666666667,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_03,60,"[[4 6]
 [1 1]]",0.0
1,Baseline Uniform Strategy,2,0.5454545454545454,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_07,60,"[[3 4]
 [1 3]]",0.0
2,Baseline Uniform Strategy,3,0.6363636363636364,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_05,60,"[[3 2]
 [2 4]]",0.0
3,Baseline Uniform Strategy,4,0.6363636363636364,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_04,60,"[[7 2]
 [2 0]]",0.0
4,Baseline Uniform Strategy,5,0.5555555555555556,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_11,60,"[[3 1]
 [3 2]]",0.0
5,Baseline Uniform Strategy,6,0.5555555555555556,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_06,60,"[[5 4]
 [0 0]]",0.015625
6,Baseline Uniform Strategy,7,0.2222222222222222,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_02,60,"[[1 3]
 [4 1]]",0.0
7,Baseline Uniform Strategy,8,0.42857142857142855,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_10,60,"[[1 0]
 [4 2]]",0.0
8,Baseline Uniform Strategy,avg,0.49959415584415584,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,avg,60,"[[27 22]
 [17 13]]",0.015625
9,Baseline Uniform Strategy,std,0.12972793611313116,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,std,60,"[[27 22]
 [17 13]]",0.015625
10,Nearest Neighbors,1,0.8333333333333334,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_03,60,"[[10  0]
 [ 2  0]]",0.171875
11,Nearest Neighbors,2,0.6363636363636364,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_07,60,"[[7 0]
 [4 0]]",0.25
12,Nearest Neighbors,3,0.45454545454545453,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_05,60,"[[5 0]
 [6 0]]",0.234375
13,Nearest Neighbors,4,0.7272727272727273,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_04,60,"[[8 1]
 [2 0]]",0.3125
14,Nearest Neighbors,5,0.5555555555555556,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_11,60,"[[0 4]
 [0 5]]",0.28125
15,Nearest Neighbors,6,1.0,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_06,60,[[9]],0.375
16,Nearest Neighbors,7,0.5555555555555556,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_02,60,"[[0 4]
 [0 5]]",0.34375
17,Nearest Neighbors,8,0.2857142857142857,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_10,60,"[[1 0]
 [5 1]]",0.3125
18,Nearest Neighbors,avg,0.6310425685425685,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,avg,60,"[[40  9]
 [19 11]]",2.28125
19,Nearest Neighbors,std,0.20860822412752852,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,std,60,"[[40  9]
 [19 11]]",2.28125
20,Logistic Regression,1,0.75,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_03,60,"[[9 1]
 [2 0]]",0.703125
21,Logistic Regression,2,0.6363636363636364,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_07,60,"[[7 0]
 [4 0]]",0.046875
22,Logistic Regression,3,0.45454545454545453,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_05,60,"[[5 0]
 [6 0]]",0.015625
23,Logistic Regression,4,0.8181818181818182,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_04,60,"[[9 0]
 [2 0]]",0.015625
24,Logistic Regression,5,0.5555555555555556,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_11,60,"[[0 4]
 [0 5]]",0.046875
25,Logistic Regression,6,1.0,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_06,60,[[9]],0.03125
26,Logistic Regression,7,0.6666666666666666,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_02,60,"[[1 3]
 [0 5]]",0.015625
27,Logistic Regression,8,0.2857142857142857,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,dyad_10,60,"[[1 0]
 [5 1]]",0.015625
28,Logistic Regression,avg,0.6458784271284271,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,avg,60,"[[41  8]
 [19 11]]",0.890625
29,Logistic Regression,std,0.2064398421188281,Nested,SIMPLE_dyads_f_MG_1DG_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,AIxVR,std,60,"[[41  8]
 [19 11]]",0.890625
