,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time,Score_on_dyads,Score_on_triads
0,Baseline Most Frequent Strategy,1,0.38461538461538464,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_01,60,"[[5 0]
 [8 0]]",0.0,0.0,0.38461538461538464
1,Baseline Most Frequent Strategy,2,0.8333333333333334,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_03,60,"[[10  0]
 [ 2  0]]",0.0,0.8333333333333334,0.0
2,Baseline Most Frequent Strategy,3,0.75,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_04,60,"[[9 0]
 [3 0]]",0.0,0.75,0.0
3,Baseline Most Frequent Strategy,4,0.45454545454545453,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_05,60,"[[5 0]
 [6 0]]",0.0,0.45454545454545453,0.0
4,Baseline Most Frequent Strategy,5,0.8181818181818182,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_07,60,"[[9 0]
 [2 0]]",0.0,0.8181818181818182,0.0
5,Baseline Most Frequent Strategy,6,0.7272727272727273,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_06,60,"[[8 0]
 [3 0]]",0.015625,0.0,0.7272727272727273
6,Baseline Most Frequent Strategy,7,0.36363636363636365,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_05,60,"[[4 0]
 [7 0]]",0.015625,0.0,0.36363636363636365
7,Baseline Most Frequent Strategy,8,0.8181818181818182,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_13,60,"[[9 0]
 [2 0]]",0.0,0.0,0.8181818181818182
8,Baseline Most Frequent Strategy,9,0.6,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_14,60,"[[6 0]
 [4 0]]",0.0,0.0,0.6
9,Baseline Most Frequent Strategy,10,0.8888888888888888,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_06,60,"[[8 0]
 [1 0]]",0.0,0.8888888888888888,0.0
10,Baseline Most Frequent Strategy,11,0.4444444444444444,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_11,60,"[[4 0]
 [5 0]]",0.015625,0.4444444444444444,0.0
11,Baseline Most Frequent Strategy,12,0.1111111111111111,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_02,60,"[[1 0]
 [8 0]]",0.0,0.1111111111111111,0.0
12,Baseline Most Frequent Strategy,13,0.375,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_07,60,"[[3 0]
 [5 0]]",0.0,0.0,0.375
13,Baseline Most Frequent Strategy,14,0.625,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_09,60,"[[5 0]
 [3 0]]",0.0,0.0,0.625
14,Baseline Most Frequent Strategy,15,0.375,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_12,60,"[[3 0]
 [5 0]]",0.0,0.0,0.375
15,Baseline Most Frequent Strategy,16,0.875,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_02,60,"[[7 0]
 [1 0]]",0.0,0.0,0.875
16,Baseline Most Frequent Strategy,17,0.0,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_10,60,"[[0 0]
 [7 0]]",0.0,0.0,0.0
17,Baseline Most Frequent Strategy,18,0.0,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_08,60,"[[0 0]
 [7 0]]",0.0,0.0,0.0
18,Baseline Most Frequent Strategy,19,0.14285714285714285,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_10,60,"[[1 0]
 [6 0]]",0.0,0.0,0.14285714285714285
19,Baseline Most Frequent Strategy,20,0.0,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_11,60,"[[0 0]
 [4 0]]",0.0,0.0,0.0
20,Baseline Most Frequent Strategy,avg,0.4793534243534244,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,avg,60,"[[97  0]
 [89  0]]",0.0625,0.5375631313131314,0.44054695304695307
21,Baseline Most Frequent Strategy,std,0.3028034893502255,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,std,60,"[[97  0]
 [89  0]]",0.0625,0.32038737122393207,0.2839360631781666
22,Baseline Prior Strategy,1,0.38461538461538464,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_01,60,"[[5 0]
 [8 0]]",0.0,0.0,0.38461538461538464
23,Baseline Prior Strategy,2,0.8333333333333334,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_03,60,"[[10  0]
 [ 2  0]]",0.0,0.8333333333333334,0.0
24,Baseline Prior Strategy,3,0.75,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_04,60,"[[9 0]
 [3 0]]",0.0,0.75,0.0
25,Baseline Prior Strategy,4,0.45454545454545453,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_05,60,"[[5 0]
 [6 0]]",0.0,0.45454545454545453,0.0
26,Baseline Prior Strategy,5,0.8181818181818182,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_07,60,"[[9 0]
 [2 0]]",0.0,0.8181818181818182,0.0
27,Baseline Prior Strategy,6,0.7272727272727273,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_06,60,"[[8 0]
 [3 0]]",0.0,0.0,0.7272727272727273
28,Baseline Prior Strategy,7,0.36363636363636365,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_05,60,"[[4 0]
 [7 0]]",0.0,0.0,0.36363636363636365
29,Baseline Prior Strategy,8,0.8181818181818182,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_13,60,"[[9 0]
 [2 0]]",0.0,0.0,0.8181818181818182
30,Baseline Prior Strategy,9,0.6,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_14,60,"[[6 0]
 [4 0]]",0.0,0.0,0.6
31,Baseline Prior Strategy,10,0.8888888888888888,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_06,60,"[[8 0]
 [1 0]]",0.015625,0.8888888888888888,0.0
32,Baseline Prior Strategy,11,0.4444444444444444,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_11,60,"[[4 0]
 [5 0]]",0.0,0.4444444444444444,0.0
33,Baseline Prior Strategy,12,0.1111111111111111,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_02,60,"[[1 0]
 [8 0]]",0.0,0.1111111111111111,0.0
34,Baseline Prior Strategy,13,0.375,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_07,60,"[[3 0]
 [5 0]]",0.0,0.0,0.375
35,Baseline Prior Strategy,14,0.625,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_09,60,"[[5 0]
 [3 0]]",0.0,0.0,0.625
36,Baseline Prior Strategy,15,0.375,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_12,60,"[[3 0]
 [5 0]]",0.0,0.0,0.375
37,Baseline Prior Strategy,16,0.875,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_02,60,"[[7 0]
 [1 0]]",0.0,0.0,0.875
38,Baseline Prior Strategy,17,0.0,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_10,60,"[[0 0]
 [7 0]]",0.0,0.0,0.0
39,Baseline Prior Strategy,18,0.0,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_08,60,"[[0 0]
 [7 0]]",0.0,0.0,0.0
40,Baseline Prior Strategy,19,0.14285714285714285,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_10,60,"[[1 0]
 [6 0]]",0.0,0.0,0.14285714285714285
41,Baseline Prior Strategy,20,0.0,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_11,60,"[[0 0]
 [4 0]]",0.0,0.0,0.0
42,Baseline Prior Strategy,avg,0.4793534243534244,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,avg,60,"[[97  0]
 [89  0]]",0.015625,0.5375631313131314,0.44054695304695307
43,Baseline Prior Strategy,std,0.3028034893502255,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,std,60,"[[97  0]
 [89  0]]",0.015625,0.32038737122393207,0.2839360631781666
44,Baseline Stratified Strategy,1,0.6153846153846154,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_01,60,"[[3 2]
 [3 5]]",0.0,0.0,0.6153846153846154
45,Baseline Stratified Strategy,2,0.5833333333333334,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_03,60,"[[5 5]
 [0 2]]",0.0,0.5833333333333334,0.0
46,Baseline Stratified Strategy,3,0.6666666666666666,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_04,60,"[[5 4]
 [0 3]]",0.015625,0.6666666666666666,0.0
47,Baseline Stratified Strategy,4,0.45454545454545453,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_05,60,"[[2 3]
 [3 3]]",0.0,0.45454545454545453,0.0
48,Baseline Stratified Strategy,5,0.6363636363636364,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_07,60,"[[6 3]
 [1 1]]",0.0,0.6363636363636364,0.0
49,Baseline Stratified Strategy,6,0.45454545454545453,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_06,60,"[[3 5]
 [1 2]]",0.0,0.0,0.45454545454545453
50,Baseline Stratified Strategy,7,0.45454545454545453,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_05,60,"[[3 1]
 [5 2]]",0.0,0.0,0.45454545454545453
51,Baseline Stratified Strategy,8,0.7272727272727273,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_13,60,"[[7 2]
 [1 1]]",0.0,0.0,0.7272727272727273
52,Baseline Stratified Strategy,9,0.6,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,triad_14,60,"[[3 3]
 [1 3]]",0.0,0.0,0.6
53,Baseline Stratified Strategy,10,0.7777777777777778,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_06,60,"[[6 2]
 [0 1]]",0.0,0.7777777777777778,0.0
54,Baseline Stratified Strategy,11,0.4444444444444444,Nested,SIMPLE_all_groups_f_MG_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,AIxVR,dyad_11,60,"[[2 2]
 [3 2]]",0.0,0.4444444444444444,0.0
