,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time,Score_on_dyads,Score_on_triads
0,Baseline Most Frequent Strategy,1,0.38461538461538464,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_01,60,"[[5 0]
 [8 0]]",0.0,0.0,0.38461538461538464
1,Baseline Most Frequent Strategy,2,0.8333333333333334,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_03,60,"[[10  0]
 [ 2  0]]",0.0,0.8333333333333334,0.0
2,Baseline Most Frequent Strategy,3,0.8181818181818182,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_04,60,"[[9 0]
 [2 0]]",0.0,0.8181818181818182,0.0
3,Baseline Most Frequent Strategy,4,0.45454545454545453,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_05,60,"[[5 0]
 [6 0]]",0.015625,0.45454545454545453,0.0
4,Baseline Most Frequent Strategy,5,0.6363636363636364,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_07,60,"[[7 0]
 [4 0]]",0.0,0.6363636363636364,0.0
5,Baseline Most Frequent Strategy,6,0.8181818181818182,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_06,60,"[[9 0]
 [2 0]]",0.0,0.0,0.8181818181818182
6,Baseline Most Frequent Strategy,7,0.36363636363636365,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_05,60,"[[4 0]
 [7 0]]",0.0,0.0,0.36363636363636365
7,Baseline Most Frequent Strategy,8,0.6363636363636364,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_13,60,"[[7 0]
 [4 0]]",0.0,0.0,0.6363636363636364
8,Baseline Most Frequent Strategy,9,0.4,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_14,60,"[[4 0]
 [6 0]]",0.0,0.0,0.4
9,Baseline Most Frequent Strategy,10,1.0,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_06,60,[[9]],0.0,1.0,0.0
10,Baseline Most Frequent Strategy,11,0.4444444444444444,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_11,60,"[[4 0]
 [5 0]]",0.0,0.4444444444444444,0.0
11,Baseline Most Frequent Strategy,12,0.4444444444444444,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_02,60,"[[4 0]
 [5 0]]",0.0,0.4444444444444444,0.0
12,Baseline Most Frequent Strategy,13,0.375,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_07,60,"[[3 0]
 [5 0]]",0.0,0.0,0.375
13,Baseline Most Frequent Strategy,14,0.5,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_09,60,"[[4 0]
 [4 0]]",0.015625,0.0,0.5
14,Baseline Most Frequent Strategy,15,0.625,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_12,60,"[[5 0]
 [3 0]]",0.0,0.0,0.625
15,Baseline Most Frequent Strategy,16,0.75,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_02,60,"[[6 0]
 [2 0]]",0.0,0.0,0.75
16,Baseline Most Frequent Strategy,17,0.14285714285714285,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,dyad_10,60,"[[1 0]
 [6 0]]",0.015625,0.14285714285714285,0.0
17,Baseline Most Frequent Strategy,18,0.0,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_08,60,"[[0 0]
 [7 0]]",0.0,0.0,0.0
18,Baseline Most Frequent Strategy,19,0.14285714285714285,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_10,60,"[[1 0]
 [6 0]]",0.0,0.0,0.14285714285714285
19,Baseline Most Frequent Strategy,20,0.0,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,triad_11,60,"[[0 0]
 [4 0]]",0.0,0.0,0.0
20,Baseline Most Frequent Strategy,avg,0.488491230991231,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,avg,60,"[[97  0]
 [88  0]]",0.046875,0.5967712842712842,0.41630452880452884
21,Baseline Most Frequent Strategy,std,0.2735992638999161,Nested,SCALER_all_groups_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,All,Blinks_GazexSpeaking,std,60,"[[97  0]
 [88  0]]",0.046875,0.26024467953149844,0.25803507499920614
