,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.8333333333333334,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_03,60,"[[10  0]
 [ 2  0]]",0.0
1,Baseline Most Frequent Strategy,2,0.6363636363636364,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_07,60,"[[7 0]
 [4 0]]",0.015625
2,Baseline Most Frequent Strategy,3,0.45454545454545453,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_05,60,"[[5 0]
 [6 0]]",0.015625
3,Baseline Most Frequent Strategy,4,0.8181818181818182,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_04,60,"[[9 0]
 [2 0]]",0.0
4,Baseline Most Frequent Strategy,5,0.4444444444444444,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_11,60,"[[4 0]
 [5 0]]",0.0
5,Baseline Most Frequent Strategy,6,1.0,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_06,60,[[9]],0.0
6,Baseline Most Frequent Strategy,7,0.4444444444444444,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_02,60,"[[4 0]
 [5 0]]",0.0
7,Baseline Most Frequent Strategy,8,0.14285714285714285,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_10,60,"[[1 0]
 [6 0]]",0.0
8,Baseline Most Frequent Strategy,avg,0.5967712842712842,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,avg,60,"[[49  0]
 [30  0]]",0.03125
9,Baseline Most Frequent Strategy,std,0.26024467953149844,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,std,60,"[[49  0]
 [30  0]]",0.03125
10,Baseline Prior Strategy,1,0.8333333333333334,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_03,60,"[[10  0]
 [ 2  0]]",0.0
11,Baseline Prior Strategy,2,0.6363636363636364,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_07,60,"[[7 0]
 [4 0]]",0.0
12,Baseline Prior Strategy,3,0.45454545454545453,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_05,60,"[[5 0]
 [6 0]]",0.0
13,Baseline Prior Strategy,4,0.8181818181818182,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_04,60,"[[9 0]
 [2 0]]",0.0
14,Baseline Prior Strategy,5,0.4444444444444444,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_11,60,"[[4 0]
 [5 0]]",0.0
15,Baseline Prior Strategy,6,1.0,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_06,60,[[9]],0.015625
16,Baseline Prior Strategy,7,0.4444444444444444,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_02,60,"[[4 0]
 [5 0]]",0.0
17,Baseline Prior Strategy,8,0.14285714285714285,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_10,60,"[[1 0]
 [6 0]]",0.0
18,Baseline Prior Strategy,avg,0.5967712842712842,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,avg,60,"[[49  0]
 [30  0]]",0.015625
19,Baseline Prior Strategy,std,0.26024467953149844,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,std,60,"[[49  0]
 [30  0]]",0.015625
20,Baseline Stratified Strategy,1,0.75,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_03,60,"[[8 2]
 [1 1]]",0.0
21,Baseline Stratified Strategy,2,0.2727272727272727,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_07,60,"[[2 5]
 [3 1]]",0.0
22,Baseline Stratified Strategy,3,0.36363636363636365,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_05,60,"[[4 1]
 [6 0]]",0.0
23,Baseline Stratified Strategy,4,0.8181818181818182,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_04,60,"[[8 1]
 [1 1]]",0.0
24,Baseline Stratified Strategy,5,0.5555555555555556,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_11,60,"[[2 2]
 [2 3]]",0.0
25,Baseline Stratified Strategy,6,0.5555555555555556,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_06,60,"[[5 4]
 [0 0]]",0.0
26,Baseline Stratified Strategy,7,0.4444444444444444,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_02,60,"[[3 1]
 [4 1]]",0.0
27,Baseline Stratified Strategy,8,0.14285714285714285,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_10,60,"[[0 1]
 [5 1]]",0.0
28,Baseline Stratified Strategy,avg,0.4878697691197691,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,avg,60,"[[32 17]
 [22  8]]",0.0
29,Baseline Stratified Strategy,std,0.21494788407993984,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,std,60,"[[32 17]
 [22  8]]",0.0
30,Baseline Uniform Strategy,1,0.3333333333333333,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_03,60,"[[3 7]
 [1 1]]",0.0
31,Baseline Uniform Strategy,2,0.5454545454545454,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_07,60,"[[4 3]
 [2 2]]",0.0
32,Baseline Uniform Strategy,3,0.36363636363636365,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_05,60,"[[1 4]
 [3 3]]",0.0
33,Baseline Uniform Strategy,4,0.45454545454545453,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_04,60,"[[4 5]
 [1 1]]",0.0
34,Baseline Uniform Strategy,5,0.3333333333333333,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_11,60,"[[2 2]
 [4 1]]",0.0
35,Baseline Uniform Strategy,6,0.4444444444444444,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_06,60,"[[4 5]
 [0 0]]",0.0
36,Baseline Uniform Strategy,7,0.3333333333333333,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_02,60,"[[2 2]
 [4 1]]",0.0
37,Baseline Uniform Strategy,8,0.5714285714285714,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_10,60,"[[1 0]
 [3 3]]",0.0
