,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.6153846153846154,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_01,60,"[[0 5]
 [0 8]]",0.015625
1,Baseline Most Frequent Strategy,2,0.36363636363636365,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_13,60,"[[0 7]
 [0 4]]",0.0
2,Baseline Most Frequent Strategy,3,0.18181818181818182,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_06,60,"[[0 9]
 [0 2]]",0.0
3,Baseline Most Frequent Strategy,4,0.6363636363636364,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_05,60,"[[0 4]
 [0 7]]",0.0
4,Baseline Most Frequent Strategy,5,0.6,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_14,60,"[[0 4]
 [0 6]]",0.0
5,Baseline Most Frequent Strategy,6,0.375,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_12,60,"[[0 5]
 [0 3]]",0.0
6,Baseline Most Frequent Strategy,7,0.5,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_09,60,"[[0 4]
 [0 4]]",0.0
7,Baseline Most Frequent Strategy,8,0.625,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_07,60,"[[0 3]
 [0 5]]",0.0
8,Baseline Most Frequent Strategy,9,0.25,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_02,60,"[[0 6]
 [0 2]]",0.015625
9,Baseline Most Frequent Strategy,10,0.8571428571428571,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_10,60,"[[0 1]
 [0 6]]",0.015625
10,Baseline Most Frequent Strategy,11,1.0,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_08,60,[[7]],0.0
11,Baseline Most Frequent Strategy,12,1.0,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_11,60,[[4]],0.0
12,Baseline Most Frequent Strategy,avg,0.5836954711954712,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,avg,60,"[[ 0 48]
 [ 0 58]]",0.046875
13,Baseline Most Frequent Strategy,std,0.25803507499920614,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,std,60,"[[ 0 48]
 [ 0 58]]",0.046875
14,Baseline Prior Strategy,1,0.6153846153846154,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_01,60,"[[0 5]
 [0 8]]",0.0
15,Baseline Prior Strategy,2,0.36363636363636365,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_13,60,"[[0 7]
 [0 4]]",0.015625
16,Baseline Prior Strategy,3,0.18181818181818182,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_06,60,"[[0 9]
 [0 2]]",0.015625
17,Baseline Prior Strategy,4,0.6363636363636364,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_05,60,"[[0 4]
 [0 7]]",0.015625
18,Baseline Prior Strategy,5,0.6,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_14,60,"[[0 4]
 [0 6]]",0.0
19,Baseline Prior Strategy,6,0.375,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_12,60,"[[0 5]
 [0 3]]",0.015625
20,Baseline Prior Strategy,7,0.5,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_09,60,"[[0 4]
 [0 4]]",0.0
21,Baseline Prior Strategy,8,0.625,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_07,60,"[[0 3]
 [0 5]]",0.0
22,Baseline Prior Strategy,9,0.25,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_02,60,"[[0 6]
 [0 2]]",0.03125
23,Baseline Prior Strategy,10,0.8571428571428571,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_10,60,"[[0 1]
 [0 6]]",0.015625
24,Baseline Prior Strategy,11,1.0,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_08,60,[[7]],0.015625
25,Baseline Prior Strategy,12,1.0,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,triad_11,60,[[4]],0.015625
26,Baseline Prior Strategy,avg,0.5836954711954712,Nested,SCALER_triads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,Blinks_GazexSpeaking,avg,60,"[[ 0 48]
 [ 0 58]]",0.140625
