,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.8333333333333334,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_03,60,"[[10  0]
 [ 2  0]]",0.0
1,Baseline Most Frequent Strategy,2,0.6363636363636364,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_07,60,"[[7 0]
 [4 0]]",0.0
2,Baseline Most Frequent Strategy,3,0.45454545454545453,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_05,60,"[[5 0]
 [6 0]]",0.0
3,Baseline Most Frequent Strategy,4,0.8181818181818182,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_04,60,"[[9 0]
 [2 0]]",0.0
4,Baseline Most Frequent Strategy,5,0.4444444444444444,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_11,60,"[[4 0]
 [5 0]]",0.0
5,Baseline Most Frequent Strategy,6,1.0,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_06,60,[[9]],0.0
6,Baseline Most Frequent Strategy,7,0.4444444444444444,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_02,60,"[[4 0]
 [5 0]]",0.0
7,Baseline Most Frequent Strategy,8,0.14285714285714285,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_10,60,"[[1 0]
 [6 0]]",0.0
8,Baseline Most Frequent Strategy,avg,0.5967712842712842,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,avg,60,"[[49  0]
 [30  0]]",0.0
9,Baseline Most Frequent Strategy,std,0.26024467953149844,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,std,60,"[[49  0]
 [30  0]]",0.0
10,Baseline Prior Strategy,1,0.8333333333333334,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_03,60,"[[10  0]
 [ 2  0]]",0.0
11,Baseline Prior Strategy,2,0.6363636363636364,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_07,60,"[[7 0]
 [4 0]]",0.0
12,Baseline Prior Strategy,3,0.45454545454545453,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_05,60,"[[5 0]
 [6 0]]",0.0
13,Baseline Prior Strategy,4,0.8181818181818182,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_04,60,"[[9 0]
 [2 0]]",0.0
14,Baseline Prior Strategy,5,0.4444444444444444,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_11,60,"[[4 0]
 [5 0]]",0.0
15,Baseline Prior Strategy,6,1.0,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_06,60,[[9]],0.0
16,Baseline Prior Strategy,7,0.4444444444444444,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_02,60,"[[4 0]
 [5 0]]",0.0
17,Baseline Prior Strategy,8,0.14285714285714285,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_10,60,"[[1 0]
 [6 0]]",0.015625
18,Baseline Prior Strategy,avg,0.5967712842712842,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,avg,60,"[[49  0]
 [30  0]]",0.015625
19,Baseline Prior Strategy,std,0.26024467953149844,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,std,60,"[[49  0]
 [30  0]]",0.015625
20,Baseline Stratified Strategy,1,0.5,Nested,SIMPLE_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,dyad_03,60,"[[6 4]
 [2 0]]",0.0
