,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.6153846153846154,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_01,60,"[[0 5]
 [0 8]]",0.0
1,Baseline Most Frequent Strategy,2,0.36363636363636365,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_13,60,"[[0 7]
 [0 4]]",0.0
2,Baseline Most Frequent Strategy,3,0.18181818181818182,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_06,60,"[[0 9]
 [0 2]]",0.0
3,Baseline Most Frequent Strategy,4,0.6363636363636364,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_05,60,"[[0 4]
 [0 7]]",0.0
4,Baseline Most Frequent Strategy,5,0.6,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_14,60,"[[0 4]
 [0 6]]",0.0
5,Baseline Most Frequent Strategy,6,0.375,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_12,60,"[[0 5]
 [0 3]]",0.0
6,Baseline Most Frequent Strategy,7,0.5,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_09,60,"[[0 4]
 [0 4]]",0.0
7,Baseline Most Frequent Strategy,8,0.625,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_07,60,"[[0 3]
 [0 5]]",0.0
8,Baseline Most Frequent Strategy,9,0.25,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_02,60,"[[0 6]
 [0 2]]",0.0
9,Baseline Most Frequent Strategy,10,0.8571428571428571,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_10,60,"[[0 1]
 [0 6]]",0.0
10,Baseline Most Frequent Strategy,11,1.0,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_08,60,[[7]],0.0
11,Baseline Most Frequent Strategy,12,1.0,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_11,60,[[4]],0.0
12,Baseline Most Frequent Strategy,avg,0.5836954711954712,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,avg,60,"[[ 0 48]
 [ 0 58]]",0.0
13,Baseline Most Frequent Strategy,std,0.25803507499920614,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,std,60,"[[ 0 48]
 [ 0 58]]",0.0
14,Baseline Prior Strategy,1,0.6153846153846154,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_01,60,"[[0 5]
 [0 8]]",0.0
15,Baseline Prior Strategy,2,0.36363636363636365,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_13,60,"[[0 7]
 [0 4]]",0.015625
16,Baseline Prior Strategy,3,0.18181818181818182,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_06,60,"[[0 9]
 [0 2]]",0.0
17,Baseline Prior Strategy,4,0.6363636363636364,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_05,60,"[[0 4]
 [0 7]]",0.0
18,Baseline Prior Strategy,5,0.6,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_14,60,"[[0 4]
 [0 6]]",0.0
19,Baseline Prior Strategy,6,0.375,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_12,60,"[[0 5]
 [0 3]]",0.0
20,Baseline Prior Strategy,7,0.5,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_09,60,"[[0 4]
 [0 4]]",0.015625
21,Baseline Prior Strategy,8,0.625,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_07,60,"[[0 3]
 [0 5]]",0.0
22,Baseline Prior Strategy,9,0.25,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_02,60,"[[0 6]
 [0 2]]",0.015625
23,Baseline Prior Strategy,10,0.8571428571428571,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_10,60,"[[0 1]
 [0 6]]",0.0
24,Baseline Prior Strategy,11,1.0,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_08,60,[[7]],0.015625
25,Baseline Prior Strategy,12,1.0,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_11,60,[[4]],0.0
26,Baseline Prior Strategy,avg,0.5836954711954712,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,avg,60,"[[ 0 48]
 [ 0 58]]",0.0625
27,Baseline Prior Strategy,std,0.25803507499920614,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,std,60,"[[ 0 48]
 [ 0 58]]",0.0625
28,Baseline Stratified Strategy,1,0.6923076923076923,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_01,60,"[[3 2]
 [2 6]]",0.0
29,Baseline Stratified Strategy,2,0.5454545454545454,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_13,60,"[[3 4]
 [1 3]]",0.0
30,Baseline Stratified Strategy,3,0.45454545454545453,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_06,60,"[[5 4]
 [2 0]]",0.0
31,Baseline Stratified Strategy,4,0.36363636363636365,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_05,60,"[[0 4]
 [3 4]]",0.0
32,Baseline Stratified Strategy,5,0.7,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_14,60,"[[3 1]
 [2 4]]",0.015625
33,Baseline Stratified Strategy,6,0.75,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_12,60,"[[3 2]
 [0 3]]",0.015625
34,Baseline Stratified Strategy,7,0.375,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_09,60,"[[2 2]
 [3 1]]",0.0
35,Baseline Stratified Strategy,8,0.625,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_07,60,"[[1 2]
 [1 4]]",0.0
36,Baseline Stratified Strategy,9,0.5,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_02,60,"[[2 4]
 [0 2]]",0.015625
37,Baseline Stratified Strategy,10,0.5714285714285714,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_10,60,"[[0 1]
 [2 4]]",0.0
38,Baseline Stratified Strategy,11,0.42857142857142855,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_08,60,"[[0 0]
 [4 3]]",0.0
39,Baseline Stratified Strategy,12,0.5,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_11,60,"[[0 0]
 [2 2]]",0.015625
40,Baseline Stratified Strategy,avg,0.5421620046620047,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,avg,60,"[[22 26]
 [22 36]]",0.0625
41,Baseline Stratified Strategy,std,0.12326529223427311,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,std,60,"[[22 26]
 [22 36]]",0.0625
42,Baseline Uniform Strategy,1,0.46153846153846156,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_01,60,"[[5 0]
 [7 1]]",0.0
43,Baseline Uniform Strategy,2,0.7272727272727273,Nested,SIMPLE_triads_f_MG_1DG_BPM_BDM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIED,triad_13,60,"[[5 2]
 [1 3]]",0.0
