,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.6153846153846154,Nested,SCALER_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,triad_01,60,"[[0 5]
 [0 8]]",0.0
1,Baseline Most Frequent Strategy,2,0.36363636363636365,Nested,SCALER_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,triad_13,60,"[[0 7]
 [0 4]]",0.0
2,Baseline Most Frequent Strategy,3,0.18181818181818182,Nested,SCALER_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,triad_06,60,"[[0 9]
 [0 2]]",0.0
3,Baseline Most Frequent Strategy,4,0.6363636363636364,Nested,SCALER_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,triad_05,60,"[[0 4]
 [0 7]]",0.0
4,Baseline Most Frequent Strategy,5,0.6,Nested,SCALER_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,triad_14,60,"[[0 4]
 [0 6]]",0.015625
5,Baseline Most Frequent Strategy,6,0.375,Nested,SCALER_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,triad_12,60,"[[0 5]
 [0 3]]",0.0
6,Baseline Most Frequent Strategy,7,0.5,Nested,SCALER_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,triad_09,60,"[[0 4]
 [0 4]]",0.0
7,Baseline Most Frequent Strategy,8,0.625,Nested,SCALER_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,triad_07,60,"[[0 3]
 [0 5]]",0.0
8,Baseline Most Frequent Strategy,9,0.25,Nested,SCALER_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,triad_02,60,"[[0 6]
 [0 2]]",0.015625
9,Baseline Most Frequent Strategy,10,0.8571428571428571,Nested,SCALER_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,triad_10,60,"[[0 1]
 [0 6]]",0.0
10,Baseline Most Frequent Strategy,11,1.0,Nested,SCALER_dyads_all_features_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,All,triad_08,60,[[7]],0.0
