,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.6153846153846154,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_01,60,"[[0 5]
 [0 8]]",0.0
1,Baseline Most Frequent Strategy,2,0.36363636363636365,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_13,60,"[[0 7]
 [0 4]]",0.0
2,Baseline Most Frequent Strategy,3,0.18181818181818182,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_06,60,"[[0 9]
 [0 2]]",0.0
3,Baseline Most Frequent Strategy,4,0.6363636363636364,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_05,60,"[[0 4]
 [0 7]]",0.0
4,Baseline Most Frequent Strategy,5,0.6,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_14,60,"[[0 4]
 [0 6]]",0.0
5,Baseline Most Frequent Strategy,6,0.375,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_12,60,"[[0 5]
 [0 3]]",0.0
6,Baseline Most Frequent Strategy,7,0.5,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_09,60,"[[0 4]
 [0 4]]",0.0
7,Baseline Most Frequent Strategy,8,0.625,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_07,60,"[[0 3]
 [0 5]]",0.0
8,Baseline Most Frequent Strategy,9,0.25,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_02,60,"[[0 6]
 [0 2]]",0.0
9,Baseline Most Frequent Strategy,10,0.8571428571428571,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_10,60,"[[0 1]
 [0 6]]",0.0
10,Baseline Most Frequent Strategy,11,1.0,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_08,60,[[7]],0.0
11,Baseline Most Frequent Strategy,12,1.0,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_11,60,[[4]],0.0
12,Baseline Most Frequent Strategy,avg,0.5836954711954712,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,avg,60,"[[ 0 48]
 [ 0 58]]",0.0
13,Baseline Most Frequent Strategy,std,0.25803507499920614,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,std,60,"[[ 0 48]
 [ 0 58]]",0.0
14,Baseline Prior Strategy,1,0.6153846153846154,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_01,60,"[[0 5]
 [0 8]]",0.03125
15,Baseline Prior Strategy,2,0.36363636363636365,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_13,60,"[[0 7]
 [0 4]]",0.0
16,Baseline Prior Strategy,3,0.18181818181818182,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_06,60,"[[0 9]
 [0 2]]",0.0
17,Baseline Prior Strategy,4,0.6363636363636364,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_05,60,"[[0 4]
 [0 7]]",0.046875
18,Baseline Prior Strategy,5,0.6,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_14,60,"[[0 4]
 [0 6]]",0.015625
19,Baseline Prior Strategy,6,0.375,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_12,60,"[[0 5]
 [0 3]]",0.0
20,Baseline Prior Strategy,7,0.5,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_09,60,"[[0 4]
 [0 4]]",0.0
21,Baseline Prior Strategy,8,0.625,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_07,60,"[[0 3]
 [0 5]]",0.0
22,Baseline Prior Strategy,9,0.25,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_02,60,"[[0 6]
 [0 2]]",0.0
23,Baseline Prior Strategy,10,0.8571428571428571,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_10,60,"[[0 1]
 [0 6]]",0.0
24,Baseline Prior Strategy,11,1.0,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_08,60,[[7]],0.0
25,Baseline Prior Strategy,12,1.0,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_11,60,[[4]],0.0
26,Baseline Prior Strategy,avg,0.5836954711954712,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,avg,60,"[[ 0 48]
 [ 0 58]]",0.09375
27,Baseline Prior Strategy,std,0.25803507499920614,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,std,60,"[[ 0 48]
 [ 0 58]]",0.09375
28,Baseline Stratified Strategy,1,0.6153846153846154,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_01,60,"[[3 2]
 [3 5]]",0.03125
29,Baseline Stratified Strategy,2,0.45454545454545453,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_13,60,"[[2 5]
 [1 3]]",0.015625
30,Baseline Stratified Strategy,3,0.8181818181818182,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_06,60,"[[7 2]
 [0 2]]",0.0
31,Baseline Stratified Strategy,4,0.5454545454545454,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_05,60,"[[3 1]
 [4 3]]",0.0
32,Baseline Stratified Strategy,5,0.3,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_14,60,"[[1 3]
 [4 2]]",0.0
33,Baseline Stratified Strategy,6,0.5,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_12,60,"[[3 2]
 [2 1]]",0.0
34,Baseline Stratified Strategy,7,0.375,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_09,60,"[[1 3]
 [2 2]]",0.015625
35,Baseline Stratified Strategy,8,0.625,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_07,60,"[[3 0]
 [3 2]]",0.0
36,Baseline Stratified Strategy,9,0.125,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_02,60,"[[0 6]
 [1 1]]",0.0
37,Baseline Stratified Strategy,10,0.8571428571428571,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_10,60,"[[1 0]
 [1 5]]",0.0
38,Baseline Stratified Strategy,11,0.7142857142857143,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_08,60,"[[0 0]
 [2 5]]",0.0
39,Baseline Stratified Strategy,12,1.0,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_11,60,[[4]],0.0
40,Baseline Stratified Strategy,avg,0.5774995837495838,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,avg,60,"[[24 24]
 [23 35]]",0.0625
41,Baseline Stratified Strategy,std,0.23838967963411975,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,std,60,"[[24 24]
 [23 35]]",0.0625
42,Baseline Uniform Strategy,1,0.6923076923076923,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_01,60,"[[3 2]
 [2 6]]",0.0
43,Baseline Uniform Strategy,2,0.5454545454545454,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_13,60,"[[4 3]
 [2 2]]",0.015625
44,Baseline Uniform Strategy,3,0.6363636363636364,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_06,60,"[[6 3]
 [1 1]]",0.015625
45,Baseline Uniform Strategy,4,0.45454545454545453,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_05,60,"[[3 1]
 [5 2]]",0.015625
46,Baseline Uniform Strategy,5,0.6,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_14,60,"[[2 2]
 [2 4]]",0.0
47,Baseline Uniform Strategy,6,0.625,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_12,60,"[[3 2]
 [1 2]]",0.015625
48,Baseline Uniform Strategy,7,0.375,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_09,60,"[[2 2]
 [3 1]]",0.0
49,Baseline Uniform Strategy,8,0.125,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_07,60,"[[1 2]
 [5 0]]",0.0
50,Baseline Uniform Strategy,9,0.875,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_02,60,"[[6 0]
 [1 1]]",0.0
51,Baseline Uniform Strategy,10,0.7142857142857143,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_10,60,"[[1 0]
 [2 4]]",0.0
52,Baseline Uniform Strategy,11,0.42857142857142855,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_08,60,"[[0 0]
 [4 3]]",0.0
53,Baseline Uniform Strategy,12,0.5,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,triad_11,60,"[[0 0]
 [2 2]]",0.0
54,Baseline Uniform Strategy,avg,0.5476273726273726,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,avg,60,"[[31 17]
 [30 28]]",0.0625
55,Baseline Uniform Strategy,std,0.18394055424026917,Nested,SCALER_triads_f_BPM_60s_binary_all_groups_avg_separated_with_group_name_Manual,Triads,AIxVR,std,60,"[[31 17]
 [30 28]]",0.0625
