,Model,Fold,Score,CV,Version,Group,Features,Group_Name,Sampling,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,1,0.8333333333333334,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_03,60,"[[10  0]
 [ 2  0]]",0.0
1,Baseline Most Frequent Strategy,2,0.6363636363636364,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_07,60,"[[7 0]
 [4 0]]",0.0
2,Baseline Most Frequent Strategy,3,0.45454545454545453,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_05,60,"[[5 0]
 [6 0]]",0.0
3,Baseline Most Frequent Strategy,4,0.8181818181818182,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_04,60,"[[9 0]
 [2 0]]",0.0
4,Baseline Most Frequent Strategy,5,0.4444444444444444,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_11,60,"[[4 0]
 [5 0]]",0.0
5,Baseline Most Frequent Strategy,6,1.0,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_06,60,[[9]],0.0
6,Baseline Most Frequent Strategy,7,0.4444444444444444,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_02,60,"[[4 0]
 [5 0]]",0.0
7,Baseline Most Frequent Strategy,8,0.14285714285714285,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_10,60,"[[1 0]
 [6 0]]",0.0
8,Baseline Most Frequent Strategy,avg,0.5967712842712842,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,avg,60,"[[49  0]
 [30  0]]",0.0
9,Baseline Most Frequent Strategy,std,0.26024467953149844,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,std,60,"[[49  0]
 [30  0]]",0.0
10,Baseline Prior Strategy,1,0.8333333333333334,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_03,60,"[[10  0]
 [ 2  0]]",0.0
11,Baseline Prior Strategy,2,0.6363636363636364,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_07,60,"[[7 0]
 [4 0]]",0.0
12,Baseline Prior Strategy,3,0.45454545454545453,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_05,60,"[[5 0]
 [6 0]]",0.0
13,Baseline Prior Strategy,4,0.8181818181818182,Nested,SCALER_dyads_f_Blinks_GazexSpeaking_60s_binary_all_groups_avg_separated_with_group_name_Manual,Dyads,Blinks_GazexSpeaking,dyad_04,60,"[[9 0]
 [2 0]]",0.0
