,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.635563603063603,Nested,_Manual,"[[  0   0  24]
 [  0   0  42]
 [  0   0 120]]",0.21875
1,Baseline Prior Strategy,0.635563603063603,Nested,_Manual,"[[  0   0  24]
 [  0   0  42]
 [  0   0 120]]",0.359375
2,Baseline Stratified Strategy,0.36612345987345984,Nested,_Manual,"[[ 0  3 21]
 [10  9 23]
 [25 33 62]]",0.25
3,Baseline Uniform Strategy,0.3440942390942391,Nested,_Manual,"[[ 8  8  8]
 [16 14 12]
 [43 37 40]]",0.15625
4,Nearest Neighbors Test,0.466966366966367,Nested,_Manual,"[[ 1  4 19]
 [ 3 14 25]
 [19 29 72]]",2.140625
5,Nearest Neighbors,0.6149779387279387,Nested,_Manual,"[[  0   2  22]
 [  0   7  35]
 [  0  10 110]]",73.078125
6,Linear SVM l1,0.635563603063603,Nested,_Manual,"[[  0   0  24]
 [  0   0  42]
 [  0   0 120]]",10.34375
7,Linear SVM l2,0.635563603063603,Nested,_Manual,"[[  0   0  24]
 [  0   0  42]
 [  0   0 120]]",117.25
8,SVM linear or rbf,0.6289528527028527,Nested,_Manual,"[[  0   0  24]
 [  0   5  37]
 [  0   6 114]]",24.421875
9,Decision Tree,0.4195765345765346,Nested,_Manual,"[[ 6  4 14]
 [ 6 11 25]
 [24 36 60]]",20.140625
10,Random Forest,0.5401469363969365,Nested,_Manual,"[[ 2  1 21]
 [ 3  6 33]
 [12 15 93]]",1692.984375
11,Neural Net,0.6226252913752914,Nested,_Manual,"[[  0   1  23]
 [  0   3  39]
 [  0   5 115]]",1275.921875
12,AdaBoost,0.6128363303363302,Nested,_Manual,"[[  0   1  23]
 [  0   2  40]
 [  0   7 113]]",1962.40625
13,Naive Bayes,0.6226252913752914,Nested,_Manual,"[[  0   1  23]
 [  0   1  41]
 [  0   3 117]]",99.109375
14,QDA,0.594342463092463,Nested,_Manual,"[[  0   2  22]
 [  0   5  37]
 [  0  12 108]]",4.9375
