,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.608495670995671,Nested,_Manual,"[[ 0  0 17]
 [ 0  0 13]
 [ 0  0 50]]",0.046875
1,Baseline Prior Strategy,0.608495670995671,Nested,_Manual,"[[ 0  0 17]
 [ 0  0 13]
 [ 0  0 50]]",0.046875
2,Baseline Stratified Strategy,0.43754509379509376,Nested,_Manual,"[[ 1  3 13]
 [ 2  2  9]
 [11  6 33]]",0.015625
3,Baseline Uniform Strategy,0.3444715007215007,Nested,_Manual,"[[ 6  1 10]
 [ 3  4  6]
 [12 21 17]]",0.046875
4,Nearest Neighbors Test,0.39141414141414144,Nested,_Manual,"[[ 2  3 12]
 [ 4  0  9]
 [14  5 31]]",0.421875
5,Nearest Neighbors,0.608495670995671,Nested,_Manual,"[[ 0  0 17]
 [ 0  0 13]
 [ 0  0 50]]",38.515625
6,Linear SVM l1,0.608495670995671,Nested,_Manual,"[[ 0  0 17]
 [ 0  0 13]
 [ 0  0 50]]",2.796875
7,Linear SVM l2,0.5946067821067821,Nested,_Manual,"[[ 0  0 17]
 [ 0  0 13]
 [ 1  0 49]]",16.609375
8,SVM linear or rbf,0.608495670995671,Nested,_Manual,"[[ 0  0 17]
 [ 0  0 13]
 [ 0  0 50]]",21.171875
9,SVM poly,0.608495670995671,Nested,_Manual,"[[ 0  0 17]
 [ 0  0 13]
 [ 0  0 50]]",686.84375
10,Decision Tree,0.37360209235209235,Nested,_Manual,"[[ 4  2 11]
 [ 3  0 10]
 [11 11 28]]",3.703125
11,Random Forest,0.3379329004329004,Nested,_Manual,"[[ 3  0 14]
 [ 2  0 11]
 [12 12 26]]",187.15625
12,Neural Net,0.483495670995671,Nested,_Manual,"[[ 0  1 16]
 [ 0  0 13]
 [ 0  9 41]]",48.96875
13,AdaBoost,0.5630411255411256,Nested,_Manual,"[[ 0  0 17]
 [ 1  3  9]
 [ 5  2 43]]",153.921875
14,Naive Bayes,0.608495670995671,Nested,_Manual,"[[ 0  0 17]
 [ 0  0 13]
 [ 0  0 50]]",9.953125
15,QDA,0.5193001443001443,Nested,_Manual,"[[ 0  1 16]
 [ 0  4  9]
 [ 4  7 39]]",0.546875
