,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.5856935956910381,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[  0   0  63]
 [  0   0  85]
 [  0   0 216]]",0.125
1,Baseline Prior Strategy,0.5856935956910381,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[  0   0  63]
 [  0   0  85]
 [  0   0 216]]",0.125
2,Baseline Stratified Strategy,0.4188809962770961,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[  9  18  36]
 [ 22  17  46]
 [ 40  49 127]]",0.28125
3,Baseline Uniform Strategy,0.3372637322183357,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[16 18 29]
 [21 30 34]
 [76 67 73]]",0.09375
4,Nearest Neighbors Test,0.46742473766642556,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[ 12  10  41]
 [ 16  32  37]
 [ 36  55 125]]",0.421875
5,Nearest Neighbors,0.5561360246389018,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[  5   2  56]
 [  5   7  73]
 [ 16   9 191]]",23.640625
6,Linear SVM l1,0.5856935956910381,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[  0   0  63]
 [  0   0  85]
 [  0   0 216]]",1.609375
7,Linear SVM l2,0.5815269290243714,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[  1   0  62]
 [  1   0  84]
 [  3   0 213]]",3.65625
8,SVM linear or rbf,0.5856935956910381,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[  0   0  63]
 [  0   0  85]
 [  0   0 216]]",5.875
9,Decision Tree,0.47589485950962934,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[ 13  12  38]
 [  9  31  45]
 [ 33  57 126]]",3.859375
10,Random Forest,0.5318383019367674,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[  9   5  49]
 [  7  20  58]
 [ 20  33 163]]",64.796875
11,Neural Net,0.5683510318539089,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[  1   2  60]
 [  0   7  78]
 [  6  10 200]]",71.03125
12,AdaBoost,0.5823602623577048,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[  0   0  63]
 [  0   3  82]
 [  0   4 212]]",26.921875
13,Naive Bayes,0.5448833190111962,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[  7   0  56]
 [  5   0  80]
 [ 25   1 190]]",11.328125
14,QDA,0.5565442136720908,Nested,SCALER_all_groups_f_MG_BPM_30s_three_way_Manual,"[[  7   0  56]
 [  5  11  69]
 [ 25   8 183]]",0.4375
