,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.6099958374958375,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[  0   0  23]
 [  0   0  56]
 [  0   0 127]]",0.046875
1,Baseline Prior Strategy,0.6099958374958375,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[  0   0  23]
 [  0   0  56]
 [  0   0 127]]",0.0625
2,Baseline Stratified Strategy,0.45748834498834495,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[ 1  8 14]
 [ 6 10 40]
 [14 31 82]]",0.03125
3,Baseline Uniform Strategy,0.3093787462537463,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[ 5  7 11]
 [12 19 25]
 [43 44 40]]",0.03125
4,Nearest Neighbors Test,0.594187271062271,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[ 8  5 10]
 [ 5 28 23]
 [12 31 84]]",0.21875
5,Nearest Neighbors,0.6133291708291708,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[  0   0  23]
 [  0   1  55]
 [  0   0 127]]",6.28125
6,Linear SVM l1,0.6066625041625041,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[  0   0  23]
 [  0   0  56]
 [  0   1 126]]",0.296875
7,Linear SVM l2,0.6099958374958375,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[  0   0  23]
 [  0   0  56]
 [  0   0 127]]",0.90625
8,SVM linear or rbf,0.6099958374958375,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[  0   0  23]
 [  0   0  56]
 [  0   0 127]]",1.546875
9,Decision Tree,0.4110889804639805,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[ 2 11 10]
 [ 8 25 23]
 [20 50 57]]",1.1875
10,Random Forest,0.5588827145077144,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[ 0  6 17]
 [ 1 22 33]
 [ 5 30 92]]",21.859375
11,Neural Net,0.5592418692418691,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[  0   2  21]
 [  1   3  52]
 [  0  15 112]]",22.484375
12,AdaBoost,0.592565281940282,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[  1   1  21]
 [  0   6  50]
 [  0  11 116]]",6.6875
13,Naive Bayes,0.5974660755910756,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[  0   2  21]
 [  0   4  52]
 [  0   8 119]]",4.28125
14,QDA,0.5457976051726052,Nested,SCALER_dyads_all_features_30s_three_way_Manual,"[[  0   5  18]
 [  2   6  48]
 [  1  20 106]]",0.109375
