,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.5856935956910381,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[  0   0  63]
 [  0   0  85]
 [  0   0 216]]",0.125
1,Baseline Prior Strategy,0.5856935956910381,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[  0   0  63]
 [  0   0  85]
 [  0   0 216]]",0.03125
2,Baseline Stratified Strategy,0.42110433070055836,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[  7   8  48]
 [  6  20  59]
 [ 41  51 124]]",0.03125
3,Baseline Uniform Strategy,0.335271562623225,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[22 20 21]
 [26 32 27]
 [84 64 68]]",0.046875
4,Nearest Neighbors Test,0.5065271620962158,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[ 12  10  41]
 [  7  37  41]
 [ 38  42 136]]",0.265625
5,Nearest Neighbors,0.5792352623577048,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[  0   0  63]
 [  0   0  85]
 [  2   0 214]]",12.21875
6,Linear SVM l1,0.5860196826475599,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[  0   0  63]
 [  0   4  81]
 [  1   3 212]]",1.109375
7,Linear SVM l2,0.5771519290243715,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[  0   1  62]
 [  0   8  77]
 [  0  11 205]]",13.625
8,SVM linear or rbf,0.5856935956910381,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[  0   0  63]
 [  0   0  85]
 [  0   0 216]]",39.34375
9,Decision Tree,0.4489980266607504,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[ 13   8  42]
 [ 18  33  34]
 [ 41  53 122]]",2.84375
10,Random Forest,0.5458056429574971,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[  6   8  49]
 [ 10  27  48]
 [ 23  29 164]]",56.078125
11,Neural Net,0.5953043285572057,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[  0   1  62]
 [  0  13  72]
 [  0  10 206]]",49.984375
12,AdaBoost,0.5752174052148475,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[  0   0  63]
 [  0   4  81]
 [  0   8 208]]",21.9375
13,Naive Bayes,0.5830084781657672,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[  0   1  62]
 [  0   9  76]
 [  0  10 206]]",5.125
14,QDA,0.5967285636358527,Nested,SIMPLE_all_groups_all_features_30s_three_way_Manual,"[[  0   3  60]
 [  0  19  66]
 [  0  17 199]]",0.125
