,Model,Score,CV,Version,Conf_Matrix,Time
0,Baseline Most Frequent Strategy,0.6099958374958375,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[  0   0  23]
 [  0   0  56]
 [  0   0 127]]",0.0
1,Baseline Prior Strategy,0.6099958374958375,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[  0   0  23]
 [  0   0  56]
 [  0   0 127]]",0.015625
2,Baseline Stratified Strategy,0.4937825369075368,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[ 3  6 14]
 [ 3 15 38]
 [ 7 33 87]]",0.03125
3,Baseline Uniform Strategy,0.3055866355866356,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[ 6 11  6]
 [16 17 23]
 [46 39 42]]",0.03125
4,Nearest Neighbors Test,0.44048590298590296,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[ 3  5 15]
 [ 7 21 28]
 [11 50 66]]",0.09375
5,Nearest Neighbors,0.6101942501942502,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[  0   1  22]
 [  0  10  46]
 [  0  10 117]]",3.25
6,Linear SVM l1,0.6185275835275835,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[  0   0  23]
 [  0   5  51]
 [  0   3 124]]",0.296875
7,Linear SVM l2,0.6185275835275835,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[  0   0  23]
 [  0   5  51]
 [  0   3 124]]",1.625
8,SVM linear or rbf,0.6008192501942501,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[  0   0  23]
 [  0   4  52]
 [  0   6 121]]",0.984375
9,Decision Tree,0.47492257742257743,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[ 0  3 20]
 [ 1 16 39]
 [13 32 82]]",0.53125
10,Random Forest,0.5033784965034965,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[ 0  3 20]
 [ 0 10 46]
 [ 5 27 95]]",18.25
11,Neural Net,0.6086069486069486,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[  0   0  23]
 [  0   1  55]
 [  1   0 126]]",12.375
12,AdaBoost,0.6211069486069486,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[  0   0  23]
 [  0  10  46]
 [  0   8 119]]",6.484375
13,Naive Bayes,0.617892662892663,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[  0   0  23]
 [  0   6  50]
 [  0   4 123]]",1.75
14,QDA,0.611585914085914,Nested,SIMPLE_triads_f_BPM_30s_three_way_Manual,"[[  0   1  22]
 [  0  16  40]
 [  0  17 110]]",0.09375
